transaction_id  ,user_id  ,device_id  ,amount_score  ,txn_count_last_24h  ,txn_amount_last_24h  ,avg_amount_30d  ,device_change_flag  ,location_change_flag  ,international_risk_flag
TXN00072,USR00072,DEV00072,29,20,10888,37194,0,1,1
TXN00073,USR00073,DEV00073,5,39,77167,69867,0,0,1
TXN00074,USR00074,DEV00074,6,0,155309,86022,0,1,1
TXN00075,USR00075,DEV00075,18,43,223,1795,1,0,1
TXN00076,USR00076,DEV00076,0,21,2362,27107,0,1,1
TXN00077,USR00077,DEV00077,0,41,71978,1616,1,1,1
TXN00078,USR00078,DEV00078,9,37,53766,33310,0,0,0
TXN00079,USR00079,DEV00079,3,25,68035,11734,0,1,1
TXN00080,USR00080,DEV00080,32,0,105687,3293,0,1,0
TXN00081,USR00081,DEV00081,48,2,133036,79235,1,1,0
TXN00082,USR00082,DEV00082,9,0,4212,91734,1,0,0
TXN00083,USR00083,DEV00083,0,32,184355,22310,1,0,1
TXN00084,USR00084,DEV00084,18,7,29970,13244,0,1,1
TXN00085,USR00085,DEV00085,0,0,15442,38885,1,1,0
TXN00086,USR00086,DEV00086,5,22,134933,1180,0,1,0
TXN00087,USR00087,DEV00087,1,9,10895,2434,1,1,1
TXN00088,USR00088,DEV00088,95,13,55356,77824,0,1,1
TXN00089,USR00089,DEV00089,0,8,129148,48122,0,1,0
TXN00090,USR00090,DEV00090,6,8,156801,5915,0,1,0
TXN00091,USR00091,DEV00091,1,18,187619,42325,1,0,1
TXN00092,USR00092,DEV00092,19,3,198567,99188,1,1,1
TXN00093,USR00093,DEV00093,28,5,107805,87970,1,0,0
TXN00094,USR00094,DEV00094,4,19,3563,12858,0,0,0
TXN00095,USR00095,DEV00095,90,0,59385,396,0,1,1
TXN00096,USR00096,DEV00096,8,21,105628,32606,0,1,0
TXN00097,USR00097,DEV00097,69,0,36981,60145,1,1,1
TXN00098,USR00098,DEV00098,83,44,153918,97232,0,0,0
TXN00099,USR00099,DEV00099,23,39,150764,12713,1,0,0
TXN00100,USR00100,DEV00100,95,26,56255,32958,0,1,1
TXN00101,USR00101,DEV00101,1,6,143278,90376,1,1,1
TXN00102,USR00102,DEV00102,21,17,719,9798,0,1,1
TXN00103,USR00103,DEV00103,3,48,147471,51558,1,1,0
TXN00104,USR00104,DEV00104,1,17,3635,97865,0,1,0
TXN00105,USR00105,DEV00105,43,10,51896,29624,0,1,1
TXN00106,USR00106,DEV00106,7,11,98978,86731,1,0,0
TXN00107,USR00107,DEV00107,0,25,34398,56261,1,0,1
TXN00108,USR00108,DEV00108,0,34,124299,21504,0,1,0
TXN00109,USR00109,DEV00109,20,3,86530,19890,1,1,0
TXN00110,USR00110,DEV00110,3,0,11434,24265,1,1,1
TXN00111,USR00111,DEV00111,3,0,22399,4353,1,0,1
TXN00112,USR00112,DEV00112,25,49,145941,2504,1,0,1
TXN00113,USR00113,DEV00113,15,40,56450,66887,0,1,0
TXN00114,USR00114,DEV00114,5,0,30173,91863,1,1,1
TXN00115,USR00115,DEV00115,9,17,120975,85128,0,1,0
TXN00116,USR00116,DEV00116,24,7,65705,9302,0,1,0
TXN00117,USR00117,DEV00117,6,48,134900,5629,0,1,0
TXN00118,USR00118,DEV00118,0,20,108924,14956,1,1,1
TXN00119,USR00119,DEV00119,1,1,1273,76491,0,1,0
TXN00120,USR00120,DEV00120,4,39,68359,4654,1,1,0
TXN00121,USR00121,DEV00121,1,7,131250,637,0,1,0
TXN00122,USR00122,DEV00122,65,9,176476,9401,0,0,0
TXN00123,USR00123,DEV00123,70,40,161602,80323,0,1,0
TXN00124,USR00124,DEV00124,57,39,13418,34670,0,1,0
TXN00125,USR00125,DEV00125,3,7,15748,33939,0,0,0
TXN00126,USR00126,DEV00126,21,29,189835,96767,0,1,0
TXN00127,USR00127,DEV00127,30,5,193571,19807,0,1,1
TXN00128,USR00128,DEV00128,1,3,16521,37363,0,0,1
TXN00129,USR00129,DEV00129,1,49,16648,27883,0,1,1
TXN00130,USR00130,DEV00130,51,9,69961,52995,1,1,1
TXN00131,USR00131,DEV00131,0,46,126359,1370,0,1,1
TXN00132,USR00132,DEV00132,21,37,134783,30440,1,0,0
TXN00133,USR00133,DEV00133,5,50,77467,51135,1,1,1
TXN00134,USR00134,DEV00134,21,19,92589,5384,0,1,1
TXN00135,USR00135,DEV00135,70,44,105376,1030,0,0,0
TXN00136,USR00136,DEV00136,83,0,111477,56530,1,0,1
TXN00137,USR00137,DEV00137,1,5,39326,42412,1,0,1
TXN00138,USR00138,DEV00138,76,20,160145,89141,1,1,1
TXN00139,USR00139,DEV00139,79,16,41995,88702,0,1,0
TXN00140,USR00140,DEV00140,20,1,74365,8032,1,1,1
TXN00141,USR00141,DEV00141,9,35,29589,1562,1,0,1
TXN00142,USR00142,DEV00142,4,11,106527,34628,1,0,1
TXN00143,USR00143,DEV00143,91,27,48467,2726,1,0,0
TXN00144,USR00144,DEV00144,2,8,61165,13705,1,0,1
TXN00145,USR00145,DEV00145,0,49,25047,94152,1,0,0
TXN00146,USR00146,DEV00146,5,38,97822,2489,1,0,0
TXN00147,USR00147,DEV00147,12,0,255,485,1,1,0
TXN00148,USR00148,DEV00148,0,28,99057,37204,0,0,0
TXN00149,USR00149,DEV00149,50,7,1578,29862,1,1,1
TXN00150,USR00150,DEV00150,0,8,108625,50803,1,0,0
TXN00151,USR00151,DEV00151,4,7,190528,10141,1,0,1
TXN00152,USR00152,DEV00152,23,33,117951,36145,1,0,1
TXN00153,USR00153,DEV00153,1,19,30787,39277,1,0,0
TXN00154,USR00154,DEV00154,23,1,100161,27232,0,0,0
TXN00155,USR00155,DEV00155,17,3,8970,21030,1,0,1
TXN00156,USR00156,DEV00156,0,1,140782,459,1,1,1
TXN00157,USR00157,DEV00157,2,27,72539,10798,1,0,0
TXN00158,USR00158,DEV00158,0,7,52246,70597,1,1,1
TXN00159,USR00159,DEV00159,2,0,144311,24729,0,0,1
TXN00160,USR00160,DEV00160,27,46,81525,63123,0,1,0
TXN00161,USR00161,DEV00161,65,41,161450,64139,1,0,1
TXN00162,USR00162,DEV00162,15,18,78605,81589,1,0,1
TXN00163,USR00163,DEV00163,77,41,144748,42823,1,0,0
TXN00164,USR00164,DEV00164,8,0,149739,78211,0,0,0
TXN00165,USR00165,DEV00165,4,21,9440,68650,0,0,1
TXN00166,USR00166,DEV00166,2,12,6953,42342,1,1,0
TXN00167,USR00167,DEV00167,89,21,44808,34876,1,1,1
TXN00168,USR00168,DEV00168,64,30,37766,29444,1,1,1
TXN00169,USR00169,DEV00169,1,29,16557,9765,0,1,0
TXN00170,USR00170,DEV00170,0,19,123459,89570,1,0,0
TXN00171,USR00171,DEV00171,25,29,95965,84560,0,0,0
TXN00172,USR00172,DEV00172,19,38,155834,3205,1,1,0
TXN00173,USR00173,DEV00173,0,41,141945,74495,1,0,0
TXN00174,USR00174,DEV00174,3,49,61413,23744,0,0,1
TXN00175,USR00175,DEV00175,42,31,1571,12111,1,1,0
TXN00176,USR00176,DEV00176,96,41,50138,24715,0,0,1
TXN00177,USR00177,DEV00177,7,26,5738,4381,1,1,0
TXN00178,USR00178,DEV00178,0,2,20640,62468,1,0,1
TXN00179,USR00179,DEV00179,2,10,17407,87573,0,1,0
TXN00180,USR00180,DEV00180,69,0,28142,80223,1,1,1
TXN00181,USR00181,DEV00181,54,45,33937,5629,1,1,0
TXN00182,USR00182,DEV00182,3,38,174192,25311,0,1,0
TXN00183,USR00183,DEV00183,0,16,7890,4437,0,1,1
TXN00184,USR00184,DEV00184,86,23,34503,13675,1,0,1
TXN00185,USR00185,DEV00185,0,7,179691,2775,1,0,0
TXN00186,USR00186,DEV00186,1,17,24823,1454,1,0,0
TXN00187,USR00187,DEV00187,1,4,43910,97521,1,1,0
TXN00188,USR00188,DEV00188,32,11,78487,35061,0,1,0
TXN00189,USR00189,DEV00189,96,7,8039,72696,1,0,0
TXN00190,USR00190,DEV00190,3,10,109229,6804,1,0,0
TXN00191,USR00191,DEV00191,9,28,115715,2260,1,0,1
TXN00192,USR00192,DEV00192,59,1,400,7906,1,0,1
TXN00193,USR00193,DEV00193,1,7,13334,25013,1,0,0
TXN00194,USR00194,DEV00194,88,7,10146,30471,1,0,1
TXN00195,USR00195,DEV00195,1,16,17907,57945,1,1,0
TXN00196,USR00196,DEV00196,25,3,39648,13242,0,0,0
TXN00197,USR00197,DEV00197,0,44,12245,14068,1,1,1
TXN00198,USR00198,DEV00198,71,3,18004,4236,1,1,0
TXN00199,USR00199,DEV00199,4,6,67476,203,1,1,0
TXN00200,USR00200,DEV00200,5,7,19787,47539,0,1,0
TXN00201,USR00201,DEV00201,24,41,7405,2406,1,1,0
TXN00202,USR00202,DEV00202,54,11,141185,11487,0,0,0
TXN00203,USR00203,DEV00203,9,12,67854,8789,0,0,1
TXN00204,USR00204,DEV00204,17,3,76816,26963,0,0,1
TXN00205,USR00205,DEV00205,3,1,164004,16895,1,1,0
TXN00206,USR00206,DEV00206,92,3,11880,35546,0,0,0
TXN00207,USR00207,DEV00207,1,30,102185,7288,1,0,1
TXN00208,USR00208,DEV00208,0,1,32138,24121,0,0,1
TXN00209,USR00209,DEV00209,2,35,136950,4174,0,0,1
TXN00210,USR00210,DEV00210,4,0,554,56183,1,1,0
TXN00211,USR00211,DEV00211,7,29,196258,89581,1,1,1
TXN00212,USR00212,DEV00212,0,13,6433,39483,0,0,0
TXN00213,USR00213,DEV00213,37,0,73350,46612,0,0,0
TXN00214,USR00214,DEV00214,43,0,17028,12931,0,1,1
TXN00215,USR00215,DEV00215,99,1,135549,27082,1,0,0
TXN00216,USR00216,DEV00216,67,12,152760,41715,0,0,1
TXN00217,USR00217,DEV00217,23,0,11268,83544,1,0,1
TXN00218,USR00218,DEV00218,88,17,25283,57824,0,1,1
TXN00219,USR00219,DEV00219,1,0,189386,62144,1,0,0
TXN00220,USR00220,DEV00220,0,11,107865,17761,1,0,0
TXN00221,USR00221,DEV00221,7,35,3606,69842,1,0,0
TXN00222,USR00222,DEV00222,1,8,43962,14224,0,0,1
TXN00223,USR00223,DEV00223,74,35,28719,3078,1,0,0
TXN00224,USR00224,DEV00224,2,18,1982,80155,0,0,0
TXN00225,USR00225,DEV00225,9,6,28145,63782,0,1,1
TXN00226,USR00226,DEV00226,25,4,183355,38144,0,0,0
TXN00227,USR00227,DEV00227,9,3,186099,35651,1,0,1
TXN00228,USR00228,DEV00228,5,1,30179,2076,0,0,1
TXN00229,USR00229,DEV00229,89,26,157684,25860,0,1,1
TXN00230,USR00230,DEV00230,0,27,189744,295,0,1,1
TXN00231,USR00231,DEV00231,25,39,77419,15827,1,0,1
TXN00232,USR00232,DEV00232,69,45,67663,3087,0,1,1
TXN00233,USR00233,DEV00233,78,30,97536,40987,1,1,1
TXN00234,USR00234,DEV00234,2,19,120740,85,0,1,1
TXN00235,USR00235,DEV00235,38,7,2422,45229,1,0,1
TXN00236,USR00236,DEV00236,80,23,611,63617,1,1,1
TXN00237,USR00237,DEV00237,48,30,52428,30300,1,0,0
TXN00238,USR00238,DEV00238,0,0,132667,42790,0,1,0
TXN00239,USR00239,DEV00239,96,21,54988,45127,0,0,1
TXN00240,USR00240,DEV00240,60,0,33808,89317,1,1,0
TXN00241,USR00241,DEV00241,90,37,101718,869,1,1,0
TXN00242,USR00242,DEV00242,1,26,153362,40285,0,1,1
TXN00243,USR00243,DEV00243,27,27,22104,18653,0,1,1
TXN00244,USR00244,DEV00244,0,32,276,98664,1,0,1
TXN00245,USR00245,DEV00245,0,2,43745,25166,0,0,0
TXN00246,USR00246,DEV00246,61,13,68396,7672,0,1,0
TXN00247,USR00247,DEV00247,30,3,53696,23510,1,0,1
TXN00248,USR00248,DEV00248,0,0,7183,23058,1,1,1
TXN00249,USR00249,DEV00249,2,0,88963,66479,0,1,1
TXN00250,USR00250,DEV00250,14,20,14601,10443,0,0,0
TXN00251,USR00251,DEV00251,29,21,48547,28125,0,1,0
TXN00252,USR00252,DEV00252,54,48,48657,47216,0,0,1
TXN00253,USR00253,DEV00253,34,12,184347,95409,1,1,1
TXN00254,USR00254,DEV00254,0,3,27784,90866,1,0,0
TXN00255,USR00255,DEV00255,11,37,89278,95771,1,0,1
TXN00256,USR00256,DEV00256,39,21,108100,44200,1,1,0
TXN00257,USR00257,DEV00257,77,15,120015,86857,1,0,0
TXN00258,USR00258,DEV00258,0,19,3168,71479,1,0,1
TXN00259,USR00259,DEV00259,41,21,130879,15986,0,0,0
TXN00260,USR00260,DEV00260,3,19,188572,92795,0,0,1
TXN00261,USR00261,DEV00261,63,14,115868,19110,0,1,1
TXN00262,USR00262,DEV00262,11,50,172574,47616,1,0,1
TXN00263,USR00263,DEV00263,26,45,597,182,1,1,1
TXN00264,USR00264,DEV00264,1,46,86715,45278,1,0,0
TXN00265,USR00265,DEV00265,2,37,144211,48865,1,0,1
TXN00266,USR00266,DEV00266,1,15,124772,91630,1,0,0
TXN00267,USR00267,DEV00267,61,4,3206,90457,1,0,0
TXN00268,USR00268,DEV00268,0,40,172122,26376,1,1,1
TXN00269,USR00269,DEV00269,7,10,10937,49932,1,1,0
TXN00270,USR00270,DEV00270,0,0,9419,77937,0,1,1
TXN00271,USR00271,DEV00271,21,0,79387,72374,1,1,0
TXN00272,USR00272,DEV00272,17,4,40112,24269,0,0,0
TXN00273,USR00273,DEV00273,59,27,12733,89401,0,0,1
TXN00274,USR00274,DEV00274,1,41,105212,39584,1,0,1
TXN00275,USR00275,DEV00275,12,5,42491,46631,0,1,1
TXN00276,USR00276,DEV00276,93,27,121396,65084,0,0,0
TXN00277,USR00277,DEV00277,0,3,111,6982,0,1,0
TXN00278,USR00278,DEV00278,94,0,18022,20435,0,1,0
TXN00279,USR00279,DEV00279,88,0,14848,31880,1,1,0
TXN00280,USR00280,DEV00280,14,1,163851,635,0,1,1
TXN00281,USR00281,DEV00281,77,5,25838,77434,0,0,1
TXN00282,USR00282,DEV00282,23,0,59396,83466,0,0,1
TXN00283,USR00283,DEV00283,80,1,6603,72610,1,1,1
TXN00284,USR00284,DEV00284,47,15,121161,12943,0,0,0
TXN00285,USR00285,DEV00285,0,4,28673,302,1,0,0
TXN00286,USR00286,DEV00286,25,6,189437,5824,0,1,1
TXN00287,USR00287,DEV00287,2,3,13,1838,1,1,0
TXN00288,USR00288,DEV00288,30,20,108591,86539,1,1,0
TXN00289,USR00289,DEV00289,14,10,31082,35164,1,0,1
TXN00290,USR00290,DEV00290,59,13,32031,21416,0,1,0
TXN00291,USR00291,DEV00291,1,35,161206,83808,0,0,1
TXN00292,USR00292,DEV00292,87,2,2214,95300,0,1,0
TXN00293,USR00293,DEV00293,40,21,3918,66994,0,1,0
TXN00294,USR00294,DEV00294,95,14,2872,42700,0,0,0
TXN00295,USR00295,DEV00295,51,15,57910,14405,0,0,1
TXN00296,USR00296,DEV00296,0,42,21061,70800,1,1,1
TXN00297,USR00297,DEV00297,42,1,73692,97615,0,1,1
TXN00298,USR00298,DEV00298,55,17,72858,16064,1,0,1
TXN00299,USR00299,DEV00299,45,29,41335,25497,0,1,1
TXN00300,USR00300,DEV00300,22,49,4957,19623,0,1,1
TXN00301,USR00301,DEV00301,4,36,160639,28491,1,0,1
TXN00302,USR00302,DEV00302,0,20,10319,27606,0,0,1
TXN00303,USR00303,DEV00303,31,4,88539,6272,1,0,1
TXN00304,USR00304,DEV00304,15,0,67887,17994,0,1,1
TXN00305,USR00305,DEV00305,71,11,24533,58929,1,0,1
TXN00306,USR00306,DEV00306,26,49,171091,82028,1,1,0
TXN00307,USR00307,DEV00307,36,19,92700,4908,0,0,1
TXN00308,USR00308,DEV00308,79,6,119332,3,1,0,1
TXN00309,USR00309,DEV00309,10,12,6208,87483,0,0,1
TXN00310,USR00310,DEV00310,9,22,13535,15953,1,0,1
TXN00311,USR00311,DEV00311,0,22,7529,69659,1,1,0
TXN00312,USR00312,DEV00312,2,7,136502,55205,0,0,1
TXN00313,USR00313,DEV00313,0,7,95707,5437,0,0,1
TXN00314,USR00314,DEV00314,63,2,112040,3526,0,1,1
TXN00315,USR00315,DEV00315,92,6,39102,21131,0,1,0
TXN00316,USR00316,DEV00316,0,7,4635,18251,0,1,0
TXN00317,USR00317,DEV00317,0,30,191382,63747,0,1,1
TXN00318,USR00318,DEV00318,5,6,107046,21714,0,0,1
TXN00319,USR00319,DEV00319,9,31,146473,2121,0,1,0
TXN00320,USR00320,DEV00320,62,15,106687,20174,1,0,1
TXN00321,USR00321,DEV00321,79,10,140714,70984,0,0,1
TXN00322,USR00322,DEV00322,1,20,1154,93300,0,0,0
TXN00323,USR00323,DEV00323,16,1,20796,358,1,1,1
TXN00324,USR00324,DEV00324,7,28,23306,12193,1,1,0
TXN00325,USR00325,DEV00325,64,3,9191,30140,1,1,1
TXN00326,USR00326,DEV00326,35,16,55016,6569,1,0,0
TXN00327,USR00327,DEV00327,77,47,27933,23304,1,0,1
TXN00328,USR00328,DEV00328,11,16,26674,48583,1,1,1
TXN00329,USR00329,DEV00329,45,34,18265,1093,0,1,0
TXN00330,USR00330,DEV00330,3,43,43004,40222,0,1,0
TXN00331,USR00331,DEV00331,0,25,135375,21121,1,1,0
TXN00332,USR00332,DEV00332,0,10,20429,12064,1,1,1
TXN00333,USR00333,DEV00333,0,4,577,26011,1,0,1
TXN00334,USR00334,DEV00334,8,14,41933,57682,1,1,0
TXN00335,USR00335,DEV00335,3,1,11527,64361,0,1,0
TXN00336,USR00336,DEV00336,1,4,98917,44084,0,0,0
TXN00337,USR00337,DEV00337,0,33,115661,29016,1,0,0
TXN00338,USR00338,DEV00338,23,1,86040,22,1,0,1
TXN00339,USR00339,DEV00339,36,16,62875,58901,0,0,1
TXN00340,USR00340,DEV00340,11,5,155205,62133,0,1,1
TXN00341,USR00341,DEV00341,73,18,130470,2813,0,0,0
TXN00342,USR00342,DEV00342,0,8,159650,29100,0,1,0
TXN00343,USR00343,DEV00343,2,2,19733,56900,1,0,1
TXN00344,USR00344,DEV00344,26,25,575,1136,1,1,0
TXN00345,USR00345,DEV00345,37,20,89129,33220,1,1,1
TXN00346,USR00346,DEV00346,59,5,156917,99922,1,0,0
TXN00347,USR00347,DEV00347,0,18,56331,98521,0,1,0
TXN00348,USR00348,DEV00348,24,1,4816,18347,1,0,1
TXN00349,USR00349,DEV00349,1,43,163937,51063,0,0,1
TXN00350,USR00350,DEV00350,9,7,204,9696,1,0,1
TXN00351,USR00351,DEV00351,0,1,26,1004,1,1,0
TXN00352,USR00352,DEV00352,0,26,18985,73651,0,1,0
TXN00353,USR00353,DEV00353,12,15,1935,11738,1,1,0
TXN00354,USR00354,DEV00354,6,26,72314,46800,1,1,0
TXN00355,USR00355,DEV00355,10,25,2426,1355,0,1,0
TXN00356,USR00356,DEV00356,35,1,2561,31980,0,0,0
TXN00357,USR00357,DEV00357,47,17,127223,1664,1,0,1
TXN00358,USR00358,DEV00358,0,31,45986,29142,1,0,0
TXN00359,USR00359,DEV00359,15,1,24839,69312,1,1,0
TXN00360,USR00360,DEV00360,30,25,117878,67890,1,0,0
TXN00361,USR00361,DEV00361,2,29,152350,32435,1,1,1
TXN00362,USR00362,DEV00362,2,17,107817,18122,0,0,0
TXN00363,USR00363,DEV00363,1,6,83733,27567,1,0,0
TXN00364,USR00364,DEV00364,6,3,2,9845,0,1,1
TXN00365,USR00365,DEV00365,2,4,127020,54811,1,0,1
TXN00366,USR00366,DEV00366,0,0,46291,21823,1,0,1
TXN00367,USR00367,DEV00367,95,11,29136,1298,1,1,0
TXN00368,USR00368,DEV00368,2,8,941,73559,1,1,1
TXN00369,USR00369,DEV00369,12,24,183721,17937,0,0,1
TXN00370,USR00370,DEV00370,51,37,123431,24338,0,1,1
TXN00371,USR00371,DEV00371,53,7,27502,22648,1,0,0
TXN00372,USR00372,DEV00372,6,4,19692,67748,1,0,0
TXN00373,USR00373,DEV00373,0,33,4384,59615,1,0,1
TXN00374,USR00374,DEV00374,97,15,84755,20395,0,1,1
TXN00375,USR00375,DEV00375,70,1,3808,10385,0,0,0
TXN00376,USR00376,DEV00376,13,4,31041,77529,0,1,0
TXN00377,USR00377,DEV00377,71,11,38512,98785,0,0,1
TXN00378,USR00378,DEV00378,68,38,4070,67323,1,1,1
TXN00379,USR00379,DEV00379,16,17,163882,47656,0,0,0
TXN00380,USR00380,DEV00380,2,29,45482,61,1,1,0
TXN00381,USR00381,DEV00381,69,1,6207,92159,0,1,1
TXN00382,USR00382,DEV00382,4,33,11874,24790,0,1,1
TXN00383,USR00383,DEV00383,26,0,191768,6800,1,0,1
TXN00384,USR00384,DEV00384,73,22,68756,23086,1,0,1
TXN00385,USR00385,DEV00385,3,1,76559,26273,1,1,0
TXN00386,USR00386,DEV00386,82,46,48858,12372,0,0,1
TXN00387,USR00387,DEV00387,12,0,3609,30952,1,0,1
TXN00388,USR00388,DEV00388,43,44,34131,267,0,1,1
TXN00389,USR00389,DEV00389,14,8,160742,16371,1,0,0
TXN00390,USR00390,DEV00390,0,34,22755,55928,1,1,1
TXN00391,USR00391,DEV00391,26,43,153807,71373,1,1,1
TXN00392,USR00392,DEV00392,0,26,151769,50235,0,1,0
TXN00393,USR00393,DEV00393,67,4,155927,8540,1,1,0
TXN00394,USR00394,DEV00394,84,19,23966,24919,0,0,1
TXN00395,USR00395,DEV00395,0,0,105079,53530,0,1,0
TXN00396,USR00396,DEV00396,1,10,39257,56,0,0,0
TXN00397,USR00397,DEV00397,0,3,48218,30997,0,0,0
TXN00398,USR00398,DEV00398,3,7,23755,48372,0,1,0
TXN00399,USR00399,DEV00399,5,10,107476,94751,0,0,0
TXN00400,USR00400,DEV00400,20,0,9430,1666,1,1,0
TXN00401,USR00401,DEV00401,48,34,50070,28968,1,0,1
TXN00402,USR00402,DEV00402,57,4,124153,111,0,1,1
TXN00403,USR00403,DEV00403,1,2,59484,5056,0,0,1
TXN00404,USR00404,DEV00404,9,1,65083,98251,0,1,0
TXN00405,USR00405,DEV00405,79,50,17278,1309,0,1,0
TXN00406,USR00406,DEV00406,8,18,27158,1137,1,0,1
TXN00407,USR00407,DEV00407,0,43,175546,36586,0,0,0
TXN00408,USR00408,DEV00408,8,24,127096,21359,0,1,0
TXN00409,USR00409,DEV00409,63,18,64398,63259,1,0,0
TXN00410,USR00410,DEV00410,6,17,19111,74168,0,1,1
TXN00411,USR00411,DEV00411,26,19,113283,68228,1,1,1
TXN00412,USR00412,DEV00412,1,14,14942,9416,0,0,0
TXN00413,USR00413,DEV00413,16,39,8209,10303,0,1,0
TXN00414,USR00414,DEV00414,86,7,23688,2952,0,1,0
TXN00415,USR00415,DEV00415,8,10,164822,94031,1,1,0
TXN00416,USR00416,DEV00416,69,0,5789,1307,0,0,0
TXN00417,USR00417,DEV00417,51,1,76982,2506,0,1,1
TXN00418,USR00418,DEV00418,68,1,164939,12868,0,1,1
TXN00419,USR00419,DEV00419,26,0,176033,90060,0,1,0
TXN00420,USR00420,DEV00420,6,14,61751,27373,0,1,0
