device_id  ,user_id  ,device_type  ,os  ,ip_address  ,is_compromised
DEV00147,USR00147,ChromeOS Laptop,Windows 11,250.48.118.70,1
DEV00148,USR00148,iPhone,macOS Monterey,27.248.202.238,1
DEV00149,USR00149,Linux Desktop,Linux Fedora,202.246.159.246,1
DEV00150,USR00150,Android Tablet,Android 14,254.180.13.86,1
DEV00151,USR00151,Android Tablet,Android 13,113.54.152.57,0
DEV00152,USR00152,Windows Desktop,macOS Monterey,155.245.224.94,1
DEV00153,USR00153,iPad,iOS 16,144.73.46.79,1
DEV00154,USR00154,Unknown Device,iOS 16,63.72.54.108,1
DEV00155,USR00155,Unknown Device,Linux Ubuntu,61.106.95.188,0
DEV00156,USR00156,Windows Desktop,ChromeOS,160.177.255.222,0
DEV00157,USR00157,Android Mobile,macOS Sonoma,83.52.157.223,1
DEV00158,USR00158,ChromeOS Laptop,Windows 11,62.95.28.167,0
DEV00159,USR00159,iPad,Windows 10,70.247.158.102,1
DEV00160,USR00160,Windows Laptop,iOS 17,142.255.174.2,0
DEV00161,USR00161,Unknown Device,iOS 17,148.13.174.130,1
DEV00162,USR00162,Unknown Device,Linux Ubuntu,18.120.56.205,1
DEV00163,USR00163,iPad,macOS Monterey,189.173.184.168,0
DEV00164,USR00164,iPad,Linux Fedora,196.38.172.86,0
DEV00165,USR00165,MacBook,iOS 16,144.12.214.155,1
DEV00166,USR00166,Linux Desktop,Windows 8,182.59.19.63,1
DEV00167,USR00167,ChromeOS Laptop,Windows 8,243.248.117.109,0
DEV00168,USR00168,Android Mobile,macOS Monterey,157.107.108.114,1
DEV00169,USR00169,Linux Desktop,Linux Fedora,94.115.96.56,1
DEV00170,USR00170,Android Tablet,Android 13,232.113.4.32,1
DEV00171,USR00171,iPad,Android 14,177.16.149.31,0
DEV00172,USR00172,Windows Desktop,Linux Fedora,191.55.6.145,0
DEV00173,USR00173,iPhone,macOS Monterey,218.61.73.100,0
DEV00174,USR00174,MacBook,Windows 8,29.122.104.107,1
DEV00175,USR00175,iPad,Windows 11,77.52.223.251,0
DEV00176,USR00176,Unknown Device,Android 13,92.82.215.30,0
DEV00177,USR00177,Windows Desktop,iOS 15,182.25.165.209,0
DEV00178,USR00178,Linux Desktop,Windows 10,228.22.138.248,1
DEV00179,USR00179,iPhone,Linux Fedora,28.213.26.75,1
DEV00180,USR00180,Windows Laptop,Android 13,195.224.82.190,0
DEV00181,USR00181,Windows Desktop,Windows 10,22.56.36.60,1
DEV00182,USR00182,Unknown Device,ChromeOS,105.200.19.246,1
DEV00183,USR00183,MacBook,iOS 15,193.132.208.219,1
DEV00184,USR00184,ChromeOS Laptop,macOS Sonoma,95.37.176.46,0
DEV00185,USR00185,iPhone,Android 12,124.16.113.22,1
DEV00186,USR00186,ChromeOS Laptop,Linux Ubuntu,92.249.101.83,1
DEV00187,USR00187,iPhone,iOS 17,174.25.113.78,0
DEV00188,USR00188,Linux Desktop,Linux Ubuntu,69.248.217.75,1
DEV00189,USR00189,Windows Desktop,macOS Ventura,9.95.42.12,1
DEV00190,USR00190,Android Tablet,Windows 10,145.64.198.124,1
DEV00191,USR00191,Unknown Device,Android 13,136.8.85.219,0
DEV00192,USR00192,Android Tablet,Android 12,38.76.189.234,1
DEV00193,USR00193,Linux Desktop,iOS 17,164.127.250.136,0
DEV00194,USR00194,Windows Laptop,Windows 11,178.17.160.19,0
DEV00195,USR00195,iPhone,macOS Sonoma,99.48.188.186,1
DEV00196,USR00196,ChromeOS Laptop,Android 13,194.234.88.130,1
DEV00197,USR00197,iPad,Android 13,52.178.189.146,1
DEV00198,USR00198,Unknown Device,iOS 17,37.71.217.110,0
DEV00199,USR00199,ChromeOS Laptop,Android 14,214.212.40.240,0
DEV00200,USR00200,Android Tablet,Windows 8,85.6.151.150,0
DEV00201,USR00201,Windows Desktop,macOS Sonoma,249.35.81.75,0
DEV00202,USR00202,Linux Desktop,Windows 10,154.86.85.6,0
DEV00203,USR00203,Unknown Device,Linux Fedora,76.199.169.95,1
DEV00204,USR00204,iPad,Windows 10,142.150.75.86,1
DEV00205,USR00205,Windows Laptop,Android 12,209.102.126.54,0
DEV00206,USR00206,MacBook,Linux Fedora,6.54.148.148,0
DEV00207,USR00207,Linux Desktop,Linux Ubuntu,79.169.9.185,0
DEV00208,USR00208,MacBook,ChromeOS,120.247.184.234,1
DEV00209,USR00209,Android Tablet,Android 12,113.253.223.116,1
DEV00210,USR00210,Android Tablet,macOS Ventura,210.124.236.238,0
DEV00211,USR00211,Linux Desktop,Windows 10,235.65.140.79,0
DEV00212,USR00212,MacBook,iOS 16,202.243.215.187,0
DEV00213,USR00213,Windows Desktop,ChromeOS,70.155.33.246,1
DEV00214,USR00214,Android Mobile,Linux Ubuntu,152.219.122.196,0
DEV00215,USR00215,iPhone,iOS 17,40.191.32.88,1
DEV00216,USR00216,Android Mobile,Windows 11,53.227.53.9,1
DEV00217,USR00217,Windows Desktop,Linux Fedora,7.69.172.220,0
DEV00218,USR00218,Android Tablet,ChromeOS,119.12.254.98,1
DEV00219,USR00219,ChromeOS Laptop,Windows 11,143.113.106.81,0
DEV00220,USR00220,Android Mobile,Linux Ubuntu,197.228.195.178,1
DEV00221,USR00221,Linux Desktop,Windows 10,246.255.255.26,1
DEV00222,USR00222,iPad,ChromeOS,141.207.76.133,1
DEV00223,USR00223,iPad,ChromeOS,230.115.0.234,1
DEV00224,USR00224,ChromeOS Laptop,Windows 11,85.67.32.120,1
DEV00225,USR00225,Windows Laptop,Linux Ubuntu,85.196.14.108,1
DEV00226,USR00226,Android Tablet,iOS 17,244.201.106.254,0
DEV00227,USR00227,Linux Desktop,macOS Sonoma,230.152.0.247,0
DEV00228,USR00228,Android Tablet,Android 13,232.107.28.28,1
DEV00229,USR00229,Unknown Device,Android 14,180.217.241.196,0
DEV00230,USR00230,ChromeOS Laptop,Linux Ubuntu,144.159.167.110,1
DEV00231,USR00231,iPhone,macOS Ventura,179.42.74.187,0
DEV00232,USR00232,Linux Desktop,Windows 10,113.45.132.74,0
DEV00233,USR00233,Android Tablet,iOS 17,75.50.111.130,1
DEV00234,USR00234,Android Tablet,Linux Ubuntu,199.124.35.95,0
DEV00235,USR00235,Windows Laptop,macOS Monterey,186.164.188.7,1
DEV00236,USR00236,iPad,iOS 15,159.67.216.163,1
DEV00237,USR00237,iPhone,macOS Ventura,223.235.76.33,1
DEV00238,USR00238,iPad,Android 12,255.101.118.241,1
DEV00239,USR00239,Linux Desktop,Windows 11,184.162.15.51,0
DEV00240,USR00240,MacBook,Windows 8,3.126.160.236,0
DEV00241,USR00241,iPad,iOS 15,177.30.217.71,1
DEV00242,USR00242,Windows Laptop,Windows 8,222.86.230.180,1
DEV00243,USR00243,Android Tablet,macOS Ventura,177.90.144.194,0
DEV00244,USR00244,Unknown Device,ChromeOS,83.185.148.65,1
DEV00245,USR00245,Android Tablet,Linux Ubuntu,19.31.113.79,1
DEV00246,USR00246,Windows Laptop,macOS Sonoma,91.44.49.175,1
DEV00247,USR00247,Unknown Device,Linux Ubuntu,15.30.148.129,0
DEV00248,USR00248,MacBook,Android 12,62.78.239.152,0
DEV00249,USR00249,Linux Desktop,Android 12,87.78.162.249,0
DEV00250,USR00250,Windows Desktop,macOS Ventura,170.69.102.221,0
DEV00251,USR00251,ChromeOS Laptop,Windows 8,77.200.88.244,1
DEV00252,USR00252,Android Mobile,macOS Sonoma,10.20.54.200,0
DEV00253,USR00253,Android Mobile,macOS Sonoma,28.27.235.36,1
DEV00254,USR00254,Android Mobile,iOS 16,125.98.130.86,0
DEV00255,USR00255,ChromeOS Laptop,macOS Sonoma,1.109.92.115,1
DEV00256,USR00256,iPad,ChromeOS,55.224.18.126,0
DEV00257,USR00257,MacBook,macOS Ventura,221.77.73.23,0
DEV00258,USR00258,ChromeOS Laptop,Windows 11,65.254.40.1,1
DEV00259,USR00259,iPhone,iOS 15,167.40.202.200,1
DEV00260,USR00260,iPhone,iOS 15,179.226.254.204,0
DEV00261,USR00261,Windows Desktop,Android 12,244.196.184.210,1
DEV00262,USR00262,ChromeOS Laptop,macOS Monterey,54.251.25.104,1
DEV00263,USR00263,Windows Laptop,macOS Monterey,1.143.199.71,1
DEV00264,USR00264,ChromeOS Laptop,macOS Monterey,17.188.203.99,1
DEV00265,USR00265,iPad,Linux Ubuntu,43.174.220.212,0
DEV00266,USR00266,iPhone,Android 14,99.46.231.45,0
DEV00267,USR00267,Windows Desktop,iOS 16,216.69.116.99,0
DEV00268,USR00268,iPad,iOS 16,174.66.47.8,0
DEV00269,USR00269,ChromeOS Laptop,Linux Ubuntu,200.189.187.90,0
DEV00270,USR00270,ChromeOS Laptop,iOS 15,238.138.245.248,1
DEV00271,USR00271,iPhone,iOS 15,106.32.186.161,1
DEV00272,USR00272,Windows Desktop,Android 13,247.101.12.205,1
DEV00273,USR00273,Android Mobile,iOS 15,83.194.61.25,0
DEV00274,USR00274,ChromeOS Laptop,Windows 11,125.140.249.18,0
DEV00275,USR00275,iPhone,Android 14,248.29.190.51,1
DEV00276,USR00276,Unknown Device,Windows 10,143.22.251.142,0
DEV00277,USR00277,MacBook,macOS Sonoma,108.153.20.114,1
DEV00278,USR00278,ChromeOS Laptop,Android 13,187.15.170.253,0
DEV00279,USR00279,iPhone,macOS Monterey,22.132.231.171,1
DEV00280,USR00280,Linux Desktop,Android 13,213.97.252.137,1
DEV00281,USR00281,iPhone,iOS 17,220.147.73.244,1
DEV00282,USR00282,Windows Desktop,Android 12,10.213.15.6,0
DEV00283,USR00283,Android Mobile,iOS 17,218.7.187.217,0
DEV00284,USR00284,Linux Desktop,ChromeOS,196.108.127.243,1
DEV00285,USR00285,Android Mobile,Linux Ubuntu,186.174.211.159,0
DEV00286,USR00286,Android Tablet,Android 14,11.90.15.2,0
DEV00287,USR00287,Android Tablet,Linux Fedora,142.74.104.34,0
DEV00288,USR00288,ChromeOS Laptop,Linux Ubuntu,72.252.137.231,0
DEV00289,USR00289,ChromeOS Laptop,macOS Sonoma,165.30.85.69,1
DEV00290,USR00290,Windows Desktop,macOS Sonoma,166.183.25.240,1
DEV00291,USR00291,MacBook,macOS Sonoma,148.101.157.45,0
DEV00292,USR00292,Windows Desktop,Android 12,132.59.70.156,0
DEV00293,USR00293,Android Tablet,Android 12,87.27.52.226,0
DEV00294,USR00294,ChromeOS Laptop,Android 14,162.249.243.86,0
DEV00295,USR00295,ChromeOS Laptop,iOS 15,194.0.196.98,0
DEV00296,USR00296,ChromeOS Laptop,Windows 11,17.248.254.210,1
DEV00297,USR00297,Unknown Device,Android 13,63.68.188.14,0
DEV00298,USR00298,Android Mobile,ChromeOS,37.141.63.26,1
DEV00299,USR00299,ChromeOS Laptop,Android 12,126.101.55.114,1
DEV00300,USR00300,iPad,Windows 11,32.105.10.168,1
DEV00301,USR00301,Android Tablet,iOS 16,203.117.129.184,0
DEV00302,USR00302,iPhone,ChromeOS,228.153.219.45,0
DEV00303,USR00303,Android Mobile,macOS Ventura,157.66.123.189,1
DEV00304,USR00304,MacBook,Linux Fedora,71.38.53.209,1
DEV00305,USR00305,Windows Laptop,Linux Fedora,201.195.152.220,1
DEV00306,USR00306,MacBook,Windows 8,20.34.243.221,0
DEV00307,USR00307,iPhone,Windows 10,192.90.4.22,1
DEV00308,USR00308,Unknown Device,Linux Ubuntu,65.115.233.90,1
DEV00309,USR00309,Unknown Device,Windows 11,37.150.89.204,1
DEV00310,USR00310,Unknown Device,Linux Fedora,186.30.222.84,1
DEV00311,USR00311,Windows Desktop,iOS 17,22.175.63.141,1
DEV00312,USR00312,MacBook,iOS 16,27.196.125.117,0
DEV00313,USR00313,iPad,Android 12,192.55.198.25,0
DEV00314,USR00314,Android Mobile,Linux Fedora,169.90.138.95,1
DEV00315,USR00315,MacBook,macOS Monterey,141.124.0.203,0
DEV00316,USR00316,iPad,Android 12,99.163.170.163,0
DEV00317,USR00317,Linux Desktop,Android 13,250.187.73.191,1
DEV00318,USR00318,ChromeOS Laptop,macOS Ventura,200.228.201.51,1
DEV00319,USR00319,Windows Desktop,iOS 16,211.233.17.31,0
DEV00320,USR00320,iPhone,iOS 17,155.25.58.240,0
DEV00321,USR00321,Android Tablet,macOS Sonoma,98.164.74.234,1
DEV00322,USR00322,iPhone,Linux Ubuntu,34.247.204.64,1
DEV00323,USR00323,iPad,macOS Sonoma,50.156.36.128,1
DEV00324,USR00324,Android Mobile,Android 13,29.90.244.211,0
DEV00325,USR00325,Windows Laptop,ChromeOS,234.127.145.96,0
DEV00326,USR00326,Windows Laptop,macOS Monterey,149.65.1.139,0
DEV00327,USR00327,iPhone,Android 14,117.127.83.36,1
DEV00328,USR00328,Android Tablet,macOS Sonoma,97.71.7.27,0
DEV00329,USR00329,Android Tablet,Linux Fedora,118.184.141.44,0
DEV00330,USR00330,MacBook,macOS Monterey,67.57.24.125,1
DEV00331,USR00331,Android Mobile,iOS 17,235.225.179.69,1
DEV00332,USR00332,Unknown Device,Android 13,65.67.197.131,1
DEV00333,USR00333,iPhone,Linux Ubuntu,226.55.141.95,1
DEV00334,USR00334,ChromeOS Laptop,Linux Fedora,218.164.30.48,0
DEV00335,USR00335,Windows Desktop,iOS 15,231.179.246.165,0
DEV00336,USR00336,iPad,Windows 10,175.170.138.105,1
DEV00337,USR00337,iPad,Windows 11,10.235.202.110,0
DEV00338,USR00338,ChromeOS Laptop,iOS 15,166.187.242.81,0
DEV00339,USR00339,Android Mobile,ChromeOS,182.158.243.178,1
DEV00340,USR00340,Windows Desktop,macOS Sonoma,83.133.213.7,1
DEV00341,USR00341,Windows Laptop,ChromeOS,110.18.116.168,0
DEV00342,USR00342,ChromeOS Laptop,Windows 10,226.21.191.26,0
DEV00343,USR00343,iPad,Linux Fedora,105.23.212.199,0
DEV00344,USR00344,ChromeOS Laptop,Linux Fedora,10.74.177.112,0
DEV00345,USR00345,Windows Laptop,Android 12,195.7.161.130,1
DEV00346,USR00346,Android Mobile,Android 12,87.69.7.169,0
DEV00347,USR00347,iPhone,Windows 10,42.66.231.159,1
DEV00348,USR00348,iPad,Windows 10,201.114.243.103,0
DEV00349,USR00349,iPad,Android 13,4.80.164.228,1
DEV00350,USR00350,ChromeOS Laptop,Windows 8,142.42.185.47,1
DEV00351,USR00351,Windows Laptop,Linux Fedora,159.54.60.71,1
DEV00352,USR00352,Linux Desktop,Android 12,59.254.207.213,1
DEV00353,USR00353,iPad,Windows 8,20.97.86.191,1
DEV00354,USR00354,Linux Desktop,macOS Ventura,207.218.112.109,1
DEV00355,USR00355,Android Tablet,iOS 16,115.19.55.161,1
DEV00356,USR00356,Unknown Device,macOS Ventura,83.9.165.183,1
DEV00357,USR00357,Unknown Device,Linux Ubuntu,166.191.13.221,1
DEV00358,USR00358,ChromeOS Laptop,iOS 15,109.91.255.221,1
DEV00359,USR00359,Unknown Device,ChromeOS,9.110.215.185,0
DEV00360,USR00360,Windows Laptop,Linux Ubuntu,102.234.77.57,1
DEV00361,USR00361,MacBook,Android 14,195.75.151.180,1
DEV00362,USR00362,Unknown Device,iOS 17,84.61.107.253,0
DEV00363,USR00363,Android Tablet,macOS Monterey,122.161.34.215,0
DEV00364,USR00364,iPad,Android 12,236.157.17.160,0
DEV00365,USR00365,iPad,Windows 11,190.209.179.128,1
DEV00366,USR00366,Windows Desktop,Android 12,140.155.33.187,1
DEV00367,USR00367,Windows Laptop,Windows 11,157.31.117.155,0
DEV00368,USR00368,Android Mobile,iOS 16,148.250.71.16,0
DEV00369,USR00369,Android Mobile,Android 12,214.112.3.155,0
DEV00370,USR00370,Android Tablet,Linux Ubuntu,69.73.148.33,1
DEV00371,USR00371,Unknown Device,Windows 8,244.8.166.131,0
DEV00372,USR00372,Android Mobile,macOS Sonoma,246.36.78.129,1
DEV00373,USR00373,Android Mobile,Linux Fedora,179.8.231.37,0
DEV00374,USR00374,Android Mobile,Android 14,194.208.126.48,0
DEV00375,USR00375,Windows Laptop,Android 12,85.26.136.108,0
DEV00376,USR00376,iPhone,iOS 17,43.19.82.75,1
DEV00377,USR00377,iPad,Windows 11,162.179.57.132,0
DEV00378,USR00378,Android Tablet,iOS 17,28.33.177.39,1
DEV00379,USR00379,MacBook,Android 14,144.198.222.36,1
DEV00380,USR00380,ChromeOS Laptop,macOS Ventura,36.23.236.32,0
DEV00381,USR00381,ChromeOS Laptop,macOS Sonoma,57.18.246.93,0
DEV00382,USR00382,Linux Desktop,macOS Sonoma,222.153.168.117,0
DEV00383,USR00383,iPad,iOS 16,226.46.31.60,1
DEV00384,USR00384,iPhone,ChromeOS,6.87.16.91,0
DEV00385,USR00385,Android Tablet,iOS 17,152.140.235.213,0
DEV00386,USR00386,Unknown Device,macOS Sonoma,79.44.249.104,1
DEV00387,USR00387,Android Mobile,Linux Ubuntu,50.64.70.242,0
DEV00388,USR00388,Android Tablet,Windows 11,207.41.45.32,0
DEV00389,USR00389,Linux Desktop,Android 12,38.27.171.192,0
DEV00390,USR00390,MacBook,Windows 10,81.57.156.225,0
DEV00391,USR00391,Linux Desktop,Windows 10,159.148.123.161,0
DEV00392,USR00392,Linux Desktop,ChromeOS,197.248.182.129,1
DEV00393,USR00393,Android Mobile,Linux Fedora,237.112.235.214,1
DEV00394,USR00394,iPhone,Android 13,250.112.93.141,1
DEV00395,USR00395,Android Tablet,Android 14,198.179.79.98,0
DEV00396,USR00396,iPad,Windows 11,90.2.225.178,1
DEV00397,USR00397,Windows Laptop,Windows 10,198.144.94.21,0
DEV00398,USR00398,Android Mobile,Android 14,169.237.14.157,1
DEV00399,USR00399,Windows Laptop,Windows 8,201.25.133.154,0
DEV00400,USR00400,iPhone,Android 14,50.114.177.128,0
