transaction_id  ,user_id  ,device_id  ,transaction_date  ,amount  ,merchant_id  ,merchant_category  ,payment_method  ,location  ,is_international  ,label   
TXN00050,USR00050,DEV00050,20-05-2024 00:05:29,10968.10498,M00018,Events,Credit Card,Howrah,1,0
TXN00051,USR00051,DEV00051,03-08-2020 21:33:24,12295.08422,M00346,Beauty & Personal Care,Debit Card,Allahabad,1,0
TXN00052,USR00052,DEV00052,29-07-2024 12:57:45,41890.97443,M00001,Music,Cash,Pimpri-Chinchwad,1,0
TXN00053,USR00053,DEV00053,21-07-2021 07:01:45,39131.47405,M00274,Groceries,Bank Transfer,Patna,1,0
TXN00054,USR00054,DEV00054,11-04-2022 09:21:48,22802.1182,M00040,Insurance,Wallet,Bareilly,1,0
TXN00055,USR00055,DEV00055,24-07-2025 08:28:19,9573.585007,M00090,Healthcare,Debit Card,Amritsar,0,0
TXN00056,USR00056,DEV00056,20-01-2021 16:59:28,34461.31983,M00425,Pet Supplies,Cash,Vijayawada,0,0
TXN00057,USR00057,DEV00057,08-12-2022 22:23:25,32243.84943,M00192,Music,Net Banking,Patna,1,0
TXN00058,USR00058,DEV00058,13-04-2022 09:33:37,42523.94839,M00184,Digital Subscriptions,EMI,Nagpur,0,0
TXN00059,USR00059,DEV00059,11-12-2023 23:01:23,27201.14207,M00247,Investment,Bank Transfer,Amritsar,0,0
TXN00060,USR00060,DEV00060,23-05-2021 18:16:06,7873.601877,M00260,Clothing,Net Banking,Vijayawada,1,0
TXN00061,USR00061,DEV00061,06-01-2022 02:48:01,26355.63101,M00437,Auto Services,EMI,Visakhapatnam,1,0
TXN00062,USR00062,DEV00062,27-06-2025 06:48:25,39316.03291,M00372,Snacks,Credit Card,Bareilly,0,0
TXN00063,USR00063,DEV00063,10-12-2021 02:53:46,37464.52795,M00441,Mobile Recharge,Bank Transfer,Chennai,1,0
TXN00064,USR00064,DEV00064,11-02-2024 10:14:35,18672.1593,M00003,Food Delivery,UPI,Lucknow,0,0
TXN00065,USR00065,DEV00065,02-09-2022 02:35:28,46069.71184,M00051,Cash Withdrawal,Cheque,Howrah,1,0
TXN00066,USR00066,DEV00066,19-06-2025 08:45:17,25380.88126,M00029,Auto Services,Cash,Ghaziabad,0,0
TXN00067,USR00067,DEV00067,02-07-2021 22:03:02,28348.79293,M00406,Medicine,Cash,Faridabad,0,0
TXN00068,USR00068,DEV00068,27-06-2021 22:47:54,38622.09006,M00190,Groceries,UPI,Indore,1,0
TXN00069,USR00069,DEV00069,26-03-2025 11:11:55,20292.93508,M00354,Cash Withdrawal,Cheque,Bhubaneswar,0,0
TXN00070,USR00070,DEV00070,25-04-2025 15:51:16,20407.02706,M00198,Stationery,Wallet,Ahmedabad,1,0
TXN00071,USR00071,DEV00071,17-02-2020 07:24:15,37131.68682,M00033,Investment,Cheque,Jabalpur,0,0
TXN00072,USR00072,DEV00072,19-01-2024 08:25:46,48288.72593,M00322,Wallet Transfer,Cash,Guwahati,0,0
TXN00073,USR00073,DEV00073,28-06-2024 07:12:00,7656.860209,M00081,Investment,Credit Card,Mysore,1,0
TXN00074,USR00074,DEV00074,26-07-2023 12:42:33,36360.07703,M00179,Electronics Accessories,Bank Transfer,Guwahati,1,0
TXN00075,USR00075,DEV00075,03-09-2023 22:34:42,19395.79782,M00375,Hotel Stay,Cash,Kolkata,1,0
TXN00076,USR00076,DEV00076,27-01-2022 07:41:14,27383.43369,M00369,Healthcare,Net Banking,Pimpri-Chinchwad,0,0
TXN00077,USR00077,DEV00077,08-01-2020 02:45:08,17280.40378,M00421,Gardening,Net Banking,Coimbatore,1,0
TXN00078,USR00078,DEV00078,01-12-2023 22:32:50,2091.784256,M00420,Education,Crypto,Rajkot,1,0
TXN00079,USR00079,DEV00079,20-07-2022 04:48:25,33469.46515,M00390,Investment,UPI,Bareilly,1,0
TXN00080,USR00080,DEV00080,14-10-2022 16:12:40,26128.04444,M00346,Sports Equipment,Wallet,Tiruchirappalli,0,0
TXN00081,USR00081,DEV00081,05-09-2025 01:43:40,26214.77232,M00420,Cash Withdrawal,Net Banking,Aurangabad,1,0
TXN00082,USR00082,DEV00082,29-09-2023 12:08:59,24369.24083,M00076,Events,Crypto,Moradabad,0,1
TXN00083,USR00083,DEV00083,14-10-2023 21:13:22,3205.523476,M00067,Jewelry,Debit Card,Rajkot,0,0
TXN00084,USR00084,DEV00084,21-05-2024 16:13:03,37486.54328,M00059,Supermarket,Crypto,Guwahati,1,0
TXN00085,USR00085,DEV00085,26-01-2021 10:27:53,18452.32888,M00315,Cash Withdrawal,Crypto,Jalandhar,1,0
TXN00086,USR00086,DEV00086,22-04-2023 00:44:51,49090.00476,M00235,Furniture,Credit Card,Vadodara,0,0
TXN00087,USR00087,DEV00087,04-10-2020 02:03:21,31383.20227,M00401,Gardening,EMI,Bangalore,1,0
TXN00088,USR00088,DEV00088,07-12-2021 00:02:59,32679.799,M00402,Groceries,Cash,Patna,0,0
TXN00089,USR00089,DEV00089,04-12-2022 19:20:27,43643.96135,M00340,Restaurant,Wallet,Visakhapatnam,1,0
TXN00090,USR00090,DEV00090,28-05-2023 03:59:16,6791.452689,M00296,Books,UPI,Moradabad,1,1
TXN00091,USR00091,DEV00091,13-09-2022 17:16:50,32725.52628,M00003,Wallet Transfer,Cash,Bareilly,0,0
TXN00092,USR00092,DEV00092,13-08-2021 20:34:35,10819.36665,M00025,Hotel Stay,Wallet,Vadodara,1,0
TXN00093,USR00093,DEV00093,14-08-2023 15:26:56,22255.17179,M00055,Baby Products,Debit Card,Nagpur,0,0
TXN00094,USR00094,DEV00094,23-02-2024 22:23:56,19164.18015,M00104,Electronics Accessories,Credit Card,Kota,0,0
TXN00095,USR00095,DEV00095,05-06-2022 07:09:03,6993.672848,M00073,Photography,Cheque,Meerut,0,0
TXN00096,USR00096,DEV00096,21-05-2020 17:18:47,13004.86956,M00276,Beverages,EMI,Amritsar,0,0
TXN00097,USR00097,DEV00097,03-03-2024 18:48:38,10528.17125,M00029,Food Delivery,Cheque,Vasai-Virar,1,0
TXN00098,USR00098,DEV00098,08-04-2025 15:11:05,45136.27603,M00149,Auto Services,Wallet,Kalyan-Dombivli,0,0
TXN00099,USR00099,DEV00099,12-01-2021 11:45:22,17577.12115,M00287,Sports Equipment,EMI,Ranchi,0,0
TXN00100,USR00100,DEV00100,14-03-2025 09:27:51,25567.53568,M00292,Education,Net Banking,Mysore,1,0
TXN00101,USR00101,DEV00101,25-01-2023 22:20:59,44172.4864,M00319,Toys,UPI,Kolkata,1,0
TXN00102,USR00102,DEV00102,01-12-2021 02:54:49,6624.833606,M00425,Gaming,UPI,Aligarh,1,0
TXN00103,USR00103,DEV00103,15-07-2020 19:20:22,48518.71852,M00121,Beverages,Credit Card,Patna,0,0
TXN00104,USR00104,DEV00104,24-11-2023 20:39:50,13902.45934,M00270,Courier Services,Cash,Faridabad,1,0
TXN00105,USR00105,DEV00105,15-05-2024 14:00:40,17275.93147,M00478,Pharmacy,Cash,Bangalore,1,1
TXN00106,USR00106,DEV00106,04-11-2022 09:29:48,45094.44356,M00154,Cinema,EMI,Chennai,0,0
TXN00107,USR00107,DEV00107,31-12-2020 09:16:57,27357.25812,M00194,Food Delivery,Bank Transfer,Guwahati,1,0
TXN00108,USR00108,DEV00108,31-05-2023 02:04:33,37477.25513,M00183,Utilities,Crypto,Nagpur,1,0
TXN00109,USR00109,DEV00109,26-05-2022 05:48:11,37066.82393,M00467,Supermarket,UPI,Howrah,0,0
TXN00110,USR00110,DEV00110,08-02-2021 18:53:19,22757.86903,M00477,Electronics,Wallet,Nagpur,1,0
TXN00111,USR00111,DEV00111,16-11-2024 16:08:54,26218.44625,M00255,Restaurant,Cash,Hyderabad,1,0
TXN00112,USR00112,DEV00112,09-11-2020 15:46:25,47608.14446,M00184,Sports Equipment,Credit Card,Navi Mumbai,1,0
TXN00113,USR00113,DEV00113,02-12-2024 07:01:13,27290.43099,M00411,Insurance,UPI,Solapur,1,0
TXN00114,USR00114,DEV00114,25-04-2021 16:56:45,10121.87236,M00427,Restaurant,Debit Card,Visakhapatnam,1,0
TXN00115,USR00115,DEV00115,24-08-2021 08:42:54,44734.1835,M00038,EMI Payment,Credit Card,Vijayawada,0,0
TXN00116,USR00116,DEV00116,08-12-2025 10:10:25,7007.163031,M00493,Office Supplies,Debit Card,Delhi,0,0
TXN00117,USR00117,DEV00117,29-07-2023 12:34:51,38645.97528,M00189,Wallet Transfer,Crypto,Gwalior,0,0
TXN00118,USR00118,DEV00118,23-02-2022 08:10:31,951.2583745,M00390,Gaming,Crypto,Srinagar,1,0
TXN00119,USR00119,DEV00119,05-04-2020 09:06:13,4600.846349,M00458,Insurance,Cheque,Agra,0,0
TXN00120,USR00120,DEV00120,09-02-2022 23:39:57,10925.65193,M00014,Car Rental,Net Banking,Raipur,0,0
TXN00121,USR00121,DEV00121,26-07-2022 09:00:27,26804.71697,M00216,Restaurant,Bank Transfer,Nagpur,1,0
TXN00122,USR00122,DEV00122,11-05-2023 08:51:19,9627.222962,M00178,Restaurant,Crypto,Hyderabad,1,0
TXN00123,USR00123,DEV00123,10-06-2023 13:17:26,9327.928073,M00045,Travel,Credit Card,Vijayawada,0,0
TXN00124,USR00124,DEV00124,13-05-2023 11:26:03,11504.67047,M00245,Investment,Credit Card,Gwalior,1,0
TXN00125,USR00125,DEV00125,01-02-2022 19:42:47,4238.491524,M00455,Office Supplies,Cash,Jodhpur,1,0
TXN00126,USR00126,DEV00126,07-09-2025 21:06:43,35554.50166,M00202,Online Services,UPI,Bhopal,1,0
TXN00127,USR00127,DEV00127,03-12-2022 14:56:26,40343.52824,M00442,Electronics Accessories,Crypto,Rajkot,0,0
TXN00128,USR00128,DEV00128,06-01-2020 00:58:53,14167.66092,M00472,Clothing,Cash,Jaipur,0,0
TXN00129,USR00129,DEV00129,04-05-2024 23:00:15,1560.211255,M00278,Jewelry,Net Banking,Vijayawada,0,0
TXN00130,USR00130,DEV00130,09-05-2021 10:50:33,5578.189704,M00157,Medicine,Bank Transfer,Vijayawada,0,0
TXN00131,USR00131,DEV00131,27-08-2023 11:46:22,1345.12214,M00031,Clothing,Wallet,Visakhapatnam,0,0
TXN00132,USR00132,DEV00132,02-09-2022 12:47:16,21358.24065,M00398,Office Supplies,Bank Transfer,Faridabad,0,0
TXN00133,USR00133,DEV00133,09-10-2021 18:41:13,38119.87888,M00216,Stationery,Cash,Agra,0,0
TXN00134,USR00134,DEV00134,16-02-2020 10:54:14,48737.60173,M00186,Supermarket,UPI,Dhanbad,0,0
TXN00135,USR00135,DEV00135,28-09-2020 14:26:46,38289.68551,M00433,Restaurant,Bank Transfer,Surat,1,0
TXN00136,USR00136,DEV00136,15-02-2022 10:04:14,3640.962935,M00081,Healthcare,Cheque,Aligarh,1,0
TXN00137,USR00137,DEV00137,11-12-2021 09:19:05,292.0312633,M00005,Pharmacy,Cash,Mira-Bhayandar,0,0
TXN00138,USR00138,DEV00138,23-02-2022 14:32:07,43081.00955,M00473,Travel,EMI,Rajkot,0,0
TXN00139,USR00139,DEV00139,05-05-2025 20:46:13,30151.90974,M00426,Toys,UPI,Gwalior,1,0
TXN00140,USR00140,DEV00140,29-04-2025 23:49:53,18308.85105,M00245,Baby Products,Debit Card,Ghaziabad,1,0
TXN00141,USR00141,DEV00141,09-09-2024 14:39:39,40986.24116,M00031,Medicine,Wallet,Srinagar,1,0
TXN00142,USR00142,DEV00142,18-03-2021 02:10:00,15552.80696,M00435,Snacks,Net Banking,Gurgaon,1,0
TXN00143,USR00143,DEV00143,16-09-2023 16:57:56,21940.55987,M00070,Beverages,Net Banking,Raipur,1,0
TXN00144,USR00144,DEV00144,27-03-2024 21:36:09,18656.4936,M00147,Car Rental,Bank Transfer,Jalandhar,0,0
TXN00145,USR00145,DEV00145,01-09-2023 04:28:57,27903.95858,M00360,Entertainment,Wallet,Jodhpur,1,0
TXN00146,USR00146,DEV00146,13-10-2023 13:08:51,35017.3765,M00367,Medicine,Net Banking,Meerut,0,0
TXN00147,USR00147,DEV00147,13-12-2025 10:31:15,30619.45,M00189,Food Delivery,Crypto,Jabalpur,0,0
TXN00148,USR00148,DEV00148,01-04-2020 03:15:22,8564.079276,M00069,Toys,EMI,Varanasi,1,1
TXN00149,USR00149,DEV00149,07-03-2023 18:31:29,21792.62772,M00150,Healthcare,Cash,Madurai,1,0
TXN00150,USR00150,DEV00150,05-07-2023 23:49:41,38934.2314,M00438,Furniture,Bank Transfer,Kolkata,1,0
TXN00151,USR00151,DEV00151,19-07-2023 02:17:32,6756.659242,M00411,Cinema,Net Banking,Jabalpur,1,0
TXN00152,USR00152,DEV00152,04-09-2023 20:22:25,12700.16943,M00393,Fitness,Credit Card,Amritsar,0,0
TXN00153,USR00153,DEV00153,02-06-2025 01:26:11,13364.89248,M00142,Food Delivery,EMI,Gwalior,1,0
TXN00154,USR00154,DEV00154,04-06-2020 06:58:17,22510.57691,M00058,Restaurant,Bank Transfer,Indore,1,0
TXN00155,USR00155,DEV00155,22-04-2024 22:58:41,3782.74891,M00020,Mobile Recharge,EMI,Vasai-Virar,0,0
TXN00156,USR00156,DEV00156,26-07-2023 20:17:35,15269.18751,M00106,Fitness,Debit Card,Vasai-Virar,0,0
TXN00157,USR00157,DEV00157,31-08-2021 22:29:17,38770.89905,M00320,Office Supplies,Debit Card,Meerut,1,0
TXN00158,USR00158,DEV00158,04-08-2021 16:37:30,27760.60923,M00261,Insurance,Net Banking,Coimbatore,1,0
TXN00159,USR00159,DEV00159,29-08-2020 19:03:03,37861.73159,M00425,Cinema,Cash,Mysore,1,0
TXN00160,USR00160,DEV00160,09-10-2021 21:38:57,196.0701282,M00225,Baby Products,Cheque,Hubli-Dharwad,1,0
TXN00161,USR00161,DEV00161,20-08-2025 06:13:55,37283.35169,M00267,Supermarket,UPI,Agra,0,0
TXN00162,USR00162,DEV00162,06-05-2025 02:05:40,22553.25112,M00218,Clothing,Net Banking,Kolkata,1,0
TXN00163,USR00163,DEV00163,18-03-2021 17:14:51,40464.35017,M00352,Music,Wallet,Pimpri-Chinchwad,1,0
TXN00164,USR00164,DEV00164,12-01-2023 02:29:52,41851.87851,M00067,Home Decor,Credit Card,Hubli-Dharwad,0,0
TXN00165,USR00165,DEV00165,21-09-2023 18:43:03,11664.01735,M00335,Books,Cheque,Tiruchirappalli,0,0
TXN00166,USR00166,DEV00166,27-10-2024 09:21:18,33213.49976,M00012,Food Delivery,Wallet,Madurai,1,0
TXN00167,USR00167,DEV00167,25-04-2024 17:19:57,6355.168234,M00315,Education,Wallet,Hyderabad,0,1
TXN00168,USR00168,DEV00168,16-07-2024 10:07:29,45807.71905,M00316,Pharmacy,Credit Card,Bhubaneswar,1,0
TXN00169,USR00169,DEV00169,16-09-2023 04:20:03,45540.94942,M00225,Electronics,Net Banking,Faridabad,1,0
TXN00170,USR00170,DEV00170,01-10-2025 19:37:39,41306.12364,M00181,EMI Payment,Cheque,Hyderabad,0,0
TXN00171,USR00171,DEV00171,04-03-2025 18:53:19,22474.20082,M00241,Sports Equipment,Cash,Mumbai,1,0
TXN00172,USR00172,DEV00172,04-07-2020 12:27:50,26013.83318,M00488,Courier Services,UPI,Moradabad,1,0
TXN00173,USR00173,DEV00173,30-03-2025 18:29:49,14928.03804,M00285,Fuel,Debit Card,Madurai,0,0
TXN00174,USR00174,DEV00174,08-10-2023 01:27:31,21896.00547,M00240,Car Rental,Wallet,Ranchi,0,0
TXN00175,USR00175,DEV00175,21-11-2023 16:04:29,22176.61152,M00273,Investment,Bank Transfer,Visakhapatnam,1,0
TXN00176,USR00176,DEV00176,07-06-2021 05:31:26,46595.97345,M00153,Car Rental,Wallet,Aurangabad,0,0
TXN00177,USR00177,DEV00177,17-04-2024 10:07:04,17860.23764,M00048,Digital Subscriptions,Cash,Navi Mumbai,1,1
TXN00178,USR00178,DEV00178,23-11-2020 01:39:04,18057.00124,M00300,Furniture,Bank Transfer,Kolkata,1,0
TXN00179,USR00179,DEV00179,12-05-2021 07:31:42,9656.588925,M00160,Clothing,Credit Card,Bhubaneswar,0,0
TXN00180,USR00180,DEV00180,28-09-2020 04:53:07,6119.525362,M00439,Furniture,Bank Transfer,Ranchi,1,0
TXN00181,USR00181,DEV00181,09-08-2022 10:34:25,33044.05406,M00006,Wallet Transfer,Debit Card,Navi Mumbai,0,0
TXN00182,USR00182,DEV00182,16-04-2024 10:40:55,25640.95873,M00239,Books,Credit Card,Delhi,1,0
TXN00183,USR00183,DEV00183,06-08-2024 06:52:33,13869.18494,M00365,Entertainment,Net Banking,Ranchi,0,0
TXN00184,USR00184,DEV00184,30-03-2024 23:16:29,23905.42361,M00130,Food Delivery,UPI,Jabalpur,0,0
TXN00185,USR00185,DEV00185,30-10-2020 11:12:26,47423.13546,M00327,Car Rental,Cheque,Mira-Bhayandar,1,0
TXN00186,USR00186,DEV00186,08-09-2023 07:04:51,31637.313,M00117,Events,Crypto,Jalandhar,1,0
TXN00187,USR00187,DEV00187,14-10-2021 03:11:51,4614.938079,M00268,Medicine,Crypto,Amritsar,1,0
TXN00188,USR00188,DEV00188,26-10-2020 12:32:21,34038.31932,M00267,Clothing,Wallet,Kanpur,1,0
TXN00189,USR00189,DEV00189,17-07-2024 08:01:57,17958.11578,M00457,Cinema,Net Banking,Hubli-Dharwad,1,0
TXN00190,USR00190,DEV00190,14-09-2020 20:02:35,34663.51433,M00123,Pet Supplies,Wallet,Gwalior,1,0
TXN00191,USR00191,DEV00191,31-03-2025 13:27:37,48429.88354,M00500,Stationery,Debit Card,Salem,1,0
TXN00192,USR00192,DEV00192,09-06-2020 11:51:45,27198.77532,M00248,Jewelry,Credit Card,Solapur,1,0
TXN00193,USR00193,DEV00193,08-01-2021 20:34:14,6004.829571,M00157,Events,Net Banking,Hubli-Dharwad,1,0
TXN00194,USR00194,DEV00194,14-03-2020 11:41:13,23011.98438,M00240,Home Decor,Credit Card,Tiruchirappalli,0,0
TXN00195,USR00195,DEV00195,27-11-2025 16:54:28,9974.355784,M00352,EMI Payment,Bank Transfer,Kanpur,0,0
TXN00196,USR00196,DEV00196,26-10-2023 05:52:05,20144.99819,M00272,Clothing,Wallet,Amritsar,0,0
TXN00197,USR00197,DEV00197,25-04-2022 01:08:57,15931.48703,M00319,EMI Payment,Credit Card,Hubli-Dharwad,0,0
TXN00198,USR00198,DEV00198,14-02-2025 16:24:29,23134.61963,M00089,Fitness,Credit Card,Coimbatore,0,0
TXN00199,USR00199,DEV00199,30-04-2020 03:37:42,10784.41938,M00433,Courier Services,Cheque,Rajkot,0,0
TXN00200,USR00200,DEV00200,09-11-2023 21:23:00,41988.55821,M00323,Travel,Debit Card,Gwalior,0,0
TXN00201,USR00201,DEV00201,18-10-2024 10:24:12,8835.770195,M00297,Gaming,Bank Transfer,Nagpur,0,0
TXN00202,USR00202,DEV00202,10-02-2020 03:06:27,41231.27293,M00231,Hotel Stay,Cash,Jalandhar,0,0
TXN00203,USR00203,DEV00203,08-10-2025 20:10:48,696.7346684,M00021,Music,Crypto,Nagpur,1,0
TXN00204,USR00204,DEV00204,06-05-2021 05:46:56,23126.95558,M00257,Restaurant,Net Banking,Tiruchirappalli,0,0
TXN00205,USR00205,DEV00205,07-04-2021 12:59:16,25292.52003,M00455,Music,Bank Transfer,Bhopal,1,0
TXN00206,USR00206,DEV00206,19-04-2020 18:33:06,27278.04965,M00168,Car Rental,EMI,Allahabad,1,0
TXN00207,USR00207,DEV00207,15-01-2022 05:18:08,45543.95897,M00366,Fuel,Wallet,Hubli-Dharwad,1,0
TXN00208,USR00208,DEV00208,20-07-2021 21:37:13,14038.22723,M00414,EMI Payment,Net Banking,Amritsar,1,1
TXN00209,USR00209,DEV00209,21-01-2022 20:48:36,25736.40077,M00053,Toys,Debit Card,Vijayawada,1,0
TXN00210,USR00210,DEV00210,01-12-2024 19:06:36,9709.41335,M00174,Taxi Services,Crypto,Visakhapatnam,1,0
TXN00211,USR00211,DEV00211,25-04-2024 12:44:18,21032.92958,M00309,Pharmacy,Debit Card,Bangalore,0,0
TXN00212,USR00212,DEV00212,28-12-2021 10:03:57,35154.99691,M00256,Internet Services,UPI,Visakhapatnam,0,0
TXN00213,USR00213,DEV00213,06-02-2024 08:11:34,42098.76162,M00050,Hardware Store,Net Banking,Bhopal,1,0
TXN00214,USR00214,DEV00214,02-09-2024 01:06:48,1077.639236,M00162,Toys,Cash,Nashik,0,0
TXN00215,USR00215,DEV00215,28-03-2025 07:24:17,6421.931442,M00321,Courier Services,UPI,Pimpri-Chinchwad,1,1
TXN00216,USR00216,DEV00216,12-09-2020 03:57:41,35086.81608,M00079,Wallet Transfer,Bank Transfer,Meerut,0,0
TXN00217,USR00217,DEV00217,16-04-2020 07:26:40,19941.48864,M00456,Travel,Cash,Kanpur,1,0
TXN00218,USR00218,DEV00218,13-06-2024 10:37:57,17183.87688,M00250,Fitness,Bank Transfer,Aurangabad,1,0
TXN00219,USR00219,DEV00219,17-06-2022 08:04:17,13524.242,M00483,Beverages,Credit Card,Kalyan-Dombivli,1,0
TXN00220,USR00220,DEV00220,18-09-2023 02:46:59,23957.35813,M00056,Investment,Crypto,Nashik,1,0
TXN00221,USR00221,DEV00221,17-05-2023 00:54:47,37134.08711,M00363,Investment,EMI,Kota,1,0
TXN00222,USR00222,DEV00222,10-09-2022 07:39:25,3314.174316,M00497,Internet Services,UPI,Bangalore,1,0
TXN00223,USR00223,DEV00223,09-01-2023 17:22:24,47279.25797,M00166,Clothing,Cash,Srinagar,1,0
