blacklist_id,merchant_id,device_id,user_id,ip_address,reason,added_on
B00319,M00386,D00389,USR00024,192.168.205.4,Chargeback History,23-11-2022 20:02:32
B00258,M00191,D00243,USR00025,192.168.94.49,IP Address Mismatch,07-07-2022 03:58:22
B00127,M00154,D00479,USR00026,192.168.217.15,High Risk Country Login,04-10-2024 03:45:27
B00174,M00459,D00254,USR00027,192.168.171.199,Brute Force Login Attempt,08-11-2021 09:53:55
B00023,M00297,D00058,USR00028,192.168.168.96,High Risk Country Login,09-11-2022 01:15:12
B00487,M00124,D00032,USR00029,192.168.82.222,High Transaction Amount,12-08-2024 15:14:16
B00356,M00494,D00312,USR00030,192.168.97.93,Too Many Transactions Quickly,06-09-2020 11:46:59
B00083,M00483,D00109,USR00031,192.168.163.76,Too Many Transactions Quickly,05-02-2020 09:38:24
B00235,M00467,D00219,USR00032,192.168.149.143,Suspicious Login Attempt,12-08-2021 10:01:45
B00261,M00407,D00459,USR00033,192.168.178.101,Multiple Failed Passwords,14-11-2025 14:06:58
B00382,M00263,D00357,USR00034,192.168.230.233,Unusual Location Change,25-03-2025 00:43:21
B00345,M00108,D00203,USR00035,192.168.250.51,Too Many Transactions Quickly,29-09-2023 12:14:56
B00386,M00484,D00184,USR00036,192.168.151.17,Transaction Velocity Too High,18-07-2023 08:27:58
B00125,M00406,D00127,USR00037,192.168.208.61,Device Not Recognized,02-11-2024 01:57:49
B00394,M00145,D00341,USR00038,192.168.157.156,Mismatched Billing/Shipping Address,28-04-2024 01:20:31
B00302,M00055,D00096,USR00039,192.168.52.114,Too Many Transactions Quickly,15-09-2020 21:32:58
B00397,M00423,D00288,USR00040,192.168.183.197,Blacklisted Device,26-05-2023 10:01:16
B00270,M00357,D00343,USR00041,192.168.166.93,Suspicious Login Attempt,25-12-2021 05:07:20
B00446,M00332,D00207,USR00042,192.168.15.229,Chargeback History,25-05-2023 11:55:22
B00359,M00293,D00103,USR00043,192.168.227.86,Proxy/VPN Detected,27-11-2020 15:05:24
B00216,M00167,D00278,USR00044,192.168.55.74,High Transaction Amount,25-08-2022 20:11:31
B00319,M00114,D00139,USR00045,192.168.113.179,Chargeback History,13-05-2024 05:54:13
B00130,M00170,D00379,USR00046,192.168.207.121,Unusual Location Change,29-06-2020 20:42:05
B00020,M00466,D00376,USR00047,192.168.246.87,Suspicious Refund Pattern,08-07-2020 23:50:57
B00248,M00414,D00261,USR00048,192.168.230.87,High Transaction Amount,14-11-2023 01:42:01
B00472,M00138,D00436,USR00049,192.168.169.52,Unverified Email/Phone,26-03-2023 04:57:28
B00317,M00028,D00227,USR00050,192.168.235.59,Duplicate Transaction,18-01-2020 23:33:23
B00115,M00115,D00209,USR00051,192.168.38.145,Mismatched Billing/Shipping Address,16-12-2024 08:46:16
B00365,M00302,D00225,USR00052,192.168.23.9,Transaction Velocity Too High,03-06-2020 01:05:24
B00406,M00393,D00324,USR00053,192.168.79.205,Unverified Email/Phone,05-10-2025 20:13:42
B00380,M00096,D00309,USR00054,192.168.119.8,High Risk Country Login,07-03-2021 20:49:42
B00089,M00461,D00057,USR00055,192.168.182.36,Duplicate Transaction,18-01-2020 21:37:02
B00202,M00066,D00052,USR00056,192.168.161.49,Multiple Failed Passwords,04-11-2024 23:36:27
B00499,M00057,D00308,USR00057,192.168.110.165,IP Address Mismatch,14-05-2025 16:26:43
B00438,M00051,D00482,USR00058,192.168.3.197,Duplicate Transaction,08-08-2025 08:36:02
B00083,M00343,D00405,USR00059,192.168.224.90,Multiple Failed Passwords,22-05-2021 15:33:40
B00265,M00124,D00154,USR00060,192.168.143.158,Device Not Recognized,01-04-2020 19:45:22
B00045,M00288,D00227,USR00061,192.168.183.67,Brute Force Login Attempt,30-06-2025 08:14:16
B00041,M00453,D00218,USR00062,192.168.187.160,Unusual Location Change,09-09-2025 09:42:56
B00486,M00352,D00476,USR00063,192.168.211.163,Brute Force Login Attempt,29-01-2025 18:46:18
B00087,M00118,D00468,USR00064,192.168.156.9,High Risk Country Login,31-03-2021 10:57:22
B00380,M00293,D00248,USR00065,192.168.127.132,Multiple Failed Passwords,10-10-2021 10:51:52
B00499,M00015,D00074,USR00066,192.168.165.9,IP Address Mismatch,19-03-2024 03:08:26
B00227,M00128,D00359,USR00067,192.168.70.199,Suspicious Login Attempt,30-08-2022 00:11:50
B00303,M00199,D00055,USR00068,192.168.133.31,Unverified Email/Phone,14-03-2024 09:07:10
B00199,M00275,D00329,USR00069,192.168.100.99,Suspicious Password Reset,23-12-2025 08:27:00
B00444,M00012,D00463,USR00070,192.168.37.17,Proxy/VPN Detected,28-07-2023 11:27:57
B00208,M00434,D00256,USR00071,192.168.117.127,Chargeback History,17-11-2022 04:18:40
B00497,M00018,D00075,USR00072,192.168.37.38,High Risk Country Login,12-10-2025 04:08:59
B00193,M00143,D00039,USR00073,192.168.30.8,Brute Force Login Attempt,06-11-2022 00:10:06
B00316,M00164,D00249,USR00074,192.168.67.235,Duplicate Transaction,16-10-2023 19:46:18
B00058,M00208,D00492,USR00075,192.168.119.202,High Risk Country Login,09-11-2025 02:59:48
B00466,M00088,D00434,USR00076,192.168.190.219,Multiple Failed Passwords,17-08-2024 00:10:13
B00340,M00148,D00126,USR00077,192.168.229.163,Chargeback History,17-09-2021 09:49:52
B00431,M00276,D00022,USR00078,192.168.19.145,Device Not Recognized,29-07-2025 10:06:25
B00078,M00395,D00434,USR00079,192.168.68.85,Transaction Velocity Too High,07-12-2023 12:07:35
B00235,M00255,D00479,USR00080,192.168.12.183,Blacklisted Device,13-08-2020 05:14:52
B00454,M00420,D00080,USR00081,192.168.238.99,Blacklisted Device,01-11-2021 13:48:26
B00381,M00163,D00485,USR00082,192.168.183.1,Multiple Failed Passwords,10-10-2020 08:13:10
B00392,M00196,D00272,USR00083,192.168.191.209,IP Address Mismatch,05-04-2021 11:43:57
B00053,M00232,D00054,USR00084,192.168.5.149,High Transaction Amount,12-05-2024 12:25:16
B00086,M00351,D00064,USR00085,192.168.82.60,Suspicious Password Reset,30-05-2023 03:40:09
B00477,M00160,D00387,USR00086,192.168.29.25,Unverified Email/Phone,07-01-2020 16:33:52
B00274,M00429,D00468,USR00087,192.168.230.155,Account Accessed From 2 Locations,12-06-2021 05:55:20
B00069,M00199,D00194,USR00088,192.168.136.33,Too Many Transactions Quickly,14-01-2023 09:50:30
B00007,M00192,D00100,USR00089,192.168.72.111,Brute Force Login Attempt,04-08-2022 05:33:04
B00217,M00361,D00429,USR00090,192.168.169.121,Suspicious Password Reset,15-04-2020 04:43:56
B00116,M00007,D00278,USR00091,192.168.91.181,Brute Force Login Attempt,11-07-2022 11:05:40
B00394,M00225,D00333,USR00092,192.168.175.208,Too Many Transactions Quickly,03-06-2025 23:57:44
B00467,M00361,D00031,USR00093,192.168.87.145,High Transaction Amount,23-04-2023 20:24:24
B00190,M00158,D00070,USR00094,192.168.149.6,Blacklisted Device,30-01-2021 06:33:57
B00359,M00396,D00309,USR00095,192.168.152.176,Suspicious Password Reset,30-12-2021 01:05:20
B00114,M00219,D00375,USR00096,192.168.28.86,Unverified Email/Phone,14-08-2021 07:31:07
B00169,M00070,D00144,USR00097,192.168.202.48,Duplicate Transaction,04-02-2024 02:51:51
B00287,M00283,D00409,USR00098,192.168.97.119,Suspicious Password Reset,14-03-2025 05:34:58
B00027,M00242,D00444,USR00099,192.168.154.144,Suspicious Password Reset,13-02-2024 07:21:21
B00220,M00117,D00215,USR00100,192.168.91.188,High Transaction Amount,23-06-2024 07:54:22
B00239,M00175,D00310,USR00101,192.168.140.247,Suspicious Password Reset,25-10-2020 00:04:54
B00305,M00178,D00088,USR00102,192.168.54.227,Suspicious Password Reset,19-01-2020 22:02:37
B00244,M00014,D00292,USR00103,192.168.202.32,Transaction Velocity Too High,14-12-2025 07:54:01
B00369,M00317,D00448,USR00104,192.168.3.100,Unusual Location Change,19-03-2023 04:52:20
B00321,M00404,D00238,USR00105,192.168.107.117,Too Many Transactions Quickly,24-06-2020 22:50:02
B00367,M00133,D00057,USR00106,192.168.19.180,Duplicate Transaction,28-02-2023 11:06:55
B00464,M00182,D00238,USR00107,192.168.92.24,Account Accessed From 2 Locations,17-08-2021 01:04:14
B00149,M00299,D00068,USR00108,192.168.82.254,Mismatched Billing/Shipping Address,07-11-2024 08:28:00
B00449,M00073,D00161,USR00109,192.168.104.93,Device Not Recognized,04-12-2022 09:57:48
B00182,M00317,D00295,USR00110,192.168.87.233,Abnormal Spending Pattern,16-12-2020 09:30:30
B00179,M00439,D00192,USR00111,192.168.2.7,Suspicious Login Attempt,03-06-2024 22:22:59
B00020,M00404,D00428,USR00112,192.168.134.161,High Transaction Amount,19-12-2024 05:19:57
B00251,M00085,D00222,USR00113,192.168.15.151,Chargeback History,29-06-2020 15:34:34
B00244,M00296,D00318,USR00114,192.168.238.154,Proxy/VPN Detected,02-11-2020 16:21:10
B00220,M00036,D00185,USR00115,192.168.125.243,Suspicious Refund Pattern,13-06-2023 22:01:26
B00040,M00261,D00400,USR00116,192.168.68.39,Transaction Velocity Too High,19-04-2022 00:30:53
B00286,M00078,D00304,USR00117,192.168.179.6,Too Many Transactions Quickly,08-05-2023 07:14:20
B00020,M00133,D00305,USR00118,192.168.83.82,Duplicate Transaction,09-08-2023 20:14:07
B00379,M00332,D00129,USR00119,192.168.95.224,IP Address Mismatch,24-03-2024 09:13:04
B00064,M00184,D00382,USR00120,192.168.131.229,Too Many Transactions Quickly,28-03-2022 21:54:39
B00078,M00256,D00108,USR00121,192.168.25.127,Proxy/VPN Detected,07-12-2023 18:36:41
B00424,M00285,D00092,USR00122,192.168.1.254,Too Many Transactions Quickly,28-07-2023 06:56:09
B00160,M00289,D00335,USR00123,192.168.209.104,Account Accessed From 2 Locations,02-11-2025 04:22:02
B00412,M00252,D00083,USR00124,192.168.131.18,Proxy/VPN Detected,11-11-2024 18:52:15
B00276,M00120,D00127,USR00125,192.168.75.73,Proxy/VPN Detected,27-11-2021 20:21:38
B00127,M00474,D00247,USR00126,192.168.78.224,Unverified Email/Phone,04-06-2025 14:40:54
B00403,M00241,D00396,USR00127,192.168.55.109,Blacklisted Device,24-01-2021 18:23:40
B00005,M00430,D00221,USR00128,192.168.208.254,Suspicious Password Reset,03-08-2025 23:30:47
B00196,M00108,D00031,USR00129,192.168.43.100,Brute Force Login Attempt,16-03-2025 00:14:38
B00475,M00313,D00254,USR00130,192.168.79.10,Too Many Transactions Quickly,15-04-2023 02:04:32
B00031,M00414,D00050,USR00131,192.168.30.130,Abnormal Spending Pattern,24-10-2021 16:27:50
B00057,M00470,D00321,USR00132,192.168.190.36,Mismatched Billing/Shipping Address,09-07-2024 11:52:55
B00178,M00146,D00229,USR00133,192.168.190.49,IP Address Mismatch,17-03-2022 08:30:50
B00363,M00350,D00358,USR00134,192.168.204.183,Too Many Transactions Quickly,17-12-2022 21:52:55
B00037,M00003,D00136,USR00135,192.168.228.129,Duplicate Transaction,30-06-2022 01:28:45
B00327,M00004,D00174,USR00136,192.168.173.196,Too Many Transactions Quickly,12-04-2020 07:28:38
B00417,M00261,D00113,USR00137,192.168.105.94,Abnormal Spending Pattern,05-06-2023 10:39:17
B00230,M00186,D00267,USR00138,192.168.32.224,Proxy/VPN Detected,25-09-2020 20:44:11
B00280,M00377,D00083,USR00139,192.168.95.148,Blacklisted Device,23-07-2023 22:35:55
B00054,M00463,D00279,USR00140,192.168.137.37,Blacklisted Device,28-09-2023 17:16:21
B00295,M00400,D00446,USR00141,192.168.177.240,High Transaction Amount,16-11-2022 01:44:24
B00371,M00457,D00313,USR00142,192.168.34.217,IP Address Mismatch,16-06-2020 00:49:10
B00154,M00370,D00428,USR00143,192.168.223.12,Transaction Velocity Too High,29-04-2023 08:01:17
B00208,M00494,D00283,USR00144,192.168.99.174,Unusual Location Change,04-03-2020 07:25:30
B00471,M00073,D00258,USR00145,192.168.34.158,Suspicious Refund Pattern,09-02-2020 02:19:35
B00004,M00339,D00322,USR00146,192.168.228.208,Brute Force Login Attempt,05-10-2021 05:05:07
B00158,M00483,D00283,USR00147,192.168.205.96,High Risk Country Login,11-11-2024 10:23:49
B00053,M00203,D00131,USR00148,192.168.163.157,Unusual Location Change,28-03-2024 17:32:46
B00302,M00395,D00497,USR00149,192.168.27.203,Unusual Location Change,20-12-2023 09:08:53
B00400,M00478,D00264,USR00150,192.168.25.253,Device Not Recognized,07-01-2023 07:02:01
B00312,M00284,D00496,USR00151,192.168.207.220,Brute Force Login Attempt,28-03-2022 02:26:06
B00100,M00209,D00466,USR00152,192.168.207.75,Multiple Failed Passwords,01-05-2025 04:09:10
B00240,M00145,D00004,USR00153,192.168.89.217,Multiple Failed Passwords,30-12-2023 12:14:09
B00093,M00075,D00439,USR00154,192.168.64.51,IP Address Mismatch,11-12-2024 17:03:50
B00446,M00093,D00079,USR00155,192.168.33.62,Account Accessed From 2 Locations,08-12-2021 02:27:55
B00212,M00250,D00106,USR00156,192.168.135.197,IP Address Mismatch,25-07-2022 19:53:15
B00204,M00267,D00014,USR00157,192.168.205.167,Suspicious Login Attempt,15-11-2024 17:09:15
B00094,M00409,D00129,USR00158,192.168.111.252,Suspicious Refund Pattern,04-12-2023 05:58:25
B00453,M00033,D00265,USR00159,192.168.109.75,Unusual Location Change,02-03-2025 11:23:56
B00300,M00321,D00339,USR00160,192.168.175.86,Account Accessed From 2 Locations,08-06-2023 09:41:37
B00158,M00079,D00491,USR00161,192.168.137.132,Abnormal Spending Pattern,12-07-2025 19:23:21
B00275,M00384,D00007,USR00162,192.168.212.150,IP Address Mismatch,14-03-2022 07:56:34
B00444,M00332,D00099,USR00163,192.168.20.34,Abnormal Spending Pattern,10-01-2020 19:31:14
B00182,M00434,D00193,USR00164,192.168.225.178,Blacklisted Device,24-06-2025 00:49:40
B00156,M00459,D00389,USR00165,192.168.88.17,Multiple Failed Passwords,14-01-2025 19:30:43
B00237,M00326,D00490,USR00166,192.168.187.61,High Transaction Amount,16-02-2025 22:31:05
B00321,M00188,D00403,USR00167,192.168.160.186,Mismatched Billing/Shipping Address,01-05-2020 22:44:50
B00496,M00280,D00350,USR00168,192.168.133.118,Chargeback History,05-08-2025 17:38:40
B00183,M00118,D00495,USR00169,192.168.9.179,Blacklisted Device,23-03-2022 07:03:29
B00187,M00430,D00061,USR00170,192.168.63.123,Suspicious Login Attempt,22-05-2023 12:55:41
B00317,M00200,D00106,USR00171,192.168.173.200,Too Many Transactions Quickly,29-03-2022 00:32:07
B00263,M00281,D00296,USR00172,192.168.79.81,Transaction Velocity Too High,20-11-2021 21:12:04
B00407,M00208,D00132,USR00173,192.168.150.165,Unusual Location Change,09-05-2021 10:35:57
B00117,M00354,D00415,USR00174,192.168.199.37,Suspicious Password Reset,19-06-2020 05:17:15
B00366,M00158,D00284,USR00175,192.168.201.11,Unusual Location Change,05-08-2025 13:07:41
B00433,M00301,D00157,USR00176,192.168.187.154,Duplicate Transaction,27-12-2025 19:00:41
B00433,M00346,D00496,USR00177,192.168.110.50,Abnormal Spending Pattern,01-02-2024 23:25:32
B00032,M00382,D00012,USR00178,192.168.176.88,High Transaction Amount,11-04-2024 04:21:41
B00371,M00453,D00273,USR00179,192.168.180.145,Unverified Email/Phone,27-12-2025 06:12:35
B00086,M00210,D00032,USR00180,192.168.30.52,Multiple Failed Passwords,14-06-2022 12:14:39
B00378,M00360,D00388,USR00181,192.168.89.186,High Transaction Amount,13-02-2022 00:33:51
B00297,M00070,D00291,USR00182,192.168.22.117,High Transaction Amount,25-04-2025 15:18:04
B00425,M00014,D00309,USR00183,192.168.177.211,IP Address Mismatch,18-11-2021 21:03:31
B00156,M00269,D00487,USR00184,192.168.73.208,Device Not Recognized,03-04-2021 15:49:11
B00322,M00135,D00142,USR00185,192.168.238.185,Device Not Recognized,25-05-2021 09:57:15
B00032,M00369,D00196,USR00186,192.168.56.196,Duplicate Transaction,29-04-2024 10:54:31
B00279,M00477,D00115,USR00187,192.168.93.68,Abnormal Spending Pattern,31-07-2020 02:25:21
B00453,M00114,D00468,USR00188,192.168.119.145,Transaction Velocity Too High,16-01-2021 13:48:33
B00431,M00474,D00415,USR00189,192.168.162.104,Device Not Recognized,13-03-2021 11:49:10
B00074,M00166,D00244,USR00190,192.168.45.102,Multiple Failed Passwords,02-06-2021 14:53:57
B00044,M00213,D00249,USR00191,192.168.151.16,Proxy/VPN Detected,16-02-2025 20:36:31
B00204,M00372,D00424,USR00192,192.168.241.146,Blacklisted Device,29-11-2020 11:12:53
B00120,M00350,D00108,USR00193,192.168.198.172,Proxy/VPN Detected,15-02-2020 23:56:20
B00425,M00172,D00217,USR00194,192.168.97.243,Unverified Email/Phone,11-05-2024 12:41:27
B00243,M00264,D00398,USR00195,192.168.90.188,Suspicious Password Reset,24-07-2020 08:42:48
B00394,M00394,D00092,USR00196,192.168.3.71,Suspicious Refund Pattern,26-11-2023 18:54:26
B00349,M00320,D00005,USR00197,192.168.169.109,Duplicate Transaction,31-08-2020 14:10:49
B00327,M00286,D00299,USR00198,192.168.161.71,Transaction Velocity Too High,17-06-2022 20:57:01
B00040,M00319,D00189,USR00199,192.168.28.119,Unusual Location Change,13-03-2025 07:40:21
B00407,M00274,D00360,USR00200,192.168.197.156,Suspicious Password Reset,30-09-2020 11:14:00
B00418,M00453,D00144,USR00201,192.168.214.47,Duplicate Transaction,05-01-2024 10:08:07
B00170,M00366,D00004,USR00202,192.168.7.141,Duplicate Transaction,27-05-2024 14:48:45
B00367,M00255,D00384,USR00203,192.168.31.53,Blacklisted Device,04-08-2025 12:25:51
B00197,M00260,D00395,USR00204,192.168.252.142,Account Accessed From 2 Locations,01-02-2023 16:52:48
B00184,M00371,D00135,USR00205,192.168.10.188,Chargeback History,08-06-2024 06:23:54
B00064,M00157,D00038,USR00206,192.168.139.230,High Transaction Amount,23-07-2021 20:18:29
B00447,M00274,D00477,USR00207,192.168.184.107,Chargeback History,19-04-2025 00:41:56
B00248,M00160,D00098,USR00208,192.168.43.37,High Risk Country Login,16-05-2022 05:56:36
B00334,M00433,D00356,USR00209,192.168.245.237,Device Not Recognized,22-11-2025 03:05:13
B00344,M00161,D00009,USR00210,192.168.59.197,Too Many Transactions Quickly,02-01-2024 01:46:41
B00493,M00421,D00305,USR00211,192.168.173.149,Unverified Email/Phone,07-03-2024 09:51:59
B00075,M00205,D00309,USR00212,192.168.100.218,High Risk Country Login,01-09-2023 10:03:35
B00167,M00117,D00477,USR00213,192.168.253.31,Too Many Transactions Quickly,22-12-2024 06:45:48
B00174,M00385,D00259,USR00214,192.168.186.3,IP Address Mismatch,29-04-2025 11:07:59
B00460,M00491,D00325,USR00215,192.168.135.224,Duplicate Transaction,27-08-2021 23:02:59
B00452,M00047,D00095,USR00216,192.168.209.140,Suspicious Login Attempt,15-12-2025 17:02:54
B00394,M00188,D00337,USR00217,192.168.65.198,Unusual Location Change,12-01-2025 08:22:12
B00058,M00262,D00437,USR00218,192.168.174.217,Unusual Location Change,08-01-2022 10:38:54
B00068,M00270,D00303,USR00219,192.168.131.196,Transaction Velocity Too High,09-04-2024 16:17:00
B00068,M00296,D00186,USR00220,192.168.140.42,Account Accessed From 2 Locations,02-04-2023 13:18:54
B00002,M00246,D00380,USR00221,192.168.95.117,Multiple Failed Passwords,02-05-2025 15:12:04
B00061,M00469,D00037,USR00222,192.168.107.88,Too Many Transactions Quickly,13-02-2021 15:26:11
B00101,M00444,D00480,USR00223,192.168.38.153,Duplicate Transaction,06-05-2020 04:36:16
B00488,M00488,D00256,USR00224,192.168.187.33,Mismatched Billing/Shipping Address,25-11-2021 08:17:41
B00085,M00057,D00164,USR00225,192.168.215.53,Account Accessed From 2 Locations,26-09-2024 07:24:05
B00126,M00199,D00210,USR00226,192.168.106.212,Suspicious Refund Pattern,03-10-2021 09:55:43
B00149,M00140,D00057,USR00227,192.168.56.251,Duplicate Transaction,09-08-2023 14:45:27
B00382,M00094,D00160,USR00228,192.168.117.213,Suspicious Refund Pattern,03-03-2022 16:08:29
B00275,M00135,D00428,USR00229,192.168.240.168,Unusual Location Change,10-09-2022 02:49:00
B00282,M00187,D00165,USR00230,192.168.211.1,Unverified Email/Phone,19-07-2020 05:27:51
B00125,M00301,D00420,USR00231,192.168.238.104,Too Many Transactions Quickly,13-05-2020 15:52:17
B00239,M00377,D00406,USR00232,192.168.223.152,Abnormal Spending Pattern,19-08-2024 09:31:04
B00117,M00254,D00161,USR00233,192.168.131.254,Too Many Transactions Quickly,12-07-2025 15:01:17
B00116,M00129,D00172,USR00234,192.168.15.185,Suspicious Refund Pattern,19-02-2024 16:24:26
B00350,M00165,D00387,USR00235,192.168.50.25,Unverified Email/Phone,18-06-2021 15:19:09
B00251,M00128,D00399,USR00236,192.168.176.219,Account Accessed From 2 Locations,20-07-2020 04:28:33
B00346,M00199,D00462,USR00237,192.168.146.240,Abnormal Spending Pattern,20-01-2022 06:35:27
B00398,M00250,D00259,USR00238,192.168.173.30,Duplicate Transaction,22-01-2024 17:48:02
B00112,M00026,D00467,USR00239,192.168.7.90,Mismatched Billing/Shipping Address,26-03-2024 00:49:46
B00227,M00286,D00246,USR00240,192.168.160.19,Blacklisted Device,19-11-2023 20:31:45
B00219,M00376,D00360,USR00241,192.168.104.73,Too Many Transactions Quickly,12-05-2021 15:49:08
B00483,M00401,D00372,USR00242,192.168.148.17,Multiple Failed Passwords,27-01-2022 20:52:01
B00336,M00159,D00222,USR00243,192.168.81.251,Brute Force Login Attempt,23-06-2024 22:11:05
B00332,M00127,D00439,USR00244,192.168.181.177,Unverified Email/Phone,12-02-2025 20:53:31
B00069,M00316,D00054,USR00245,192.168.34.137,High Transaction Amount,14-09-2024 15:25:06
B00151,M00099,D00003,USR00246,192.168.16.211,Brute Force Login Attempt,19-08-2023 06:44:02
B00251,M00097,D00440,USR00247,192.168.115.211,Chargeback History,11-10-2023 02:45:24
B00185,M00221,D00068,USR00248,192.168.215.181,Suspicious Login Attempt,17-11-2024 10:12:28
B00327,M00135,D00440,USR00249,192.168.70.236,Device Not Recognized,13-05-2020 10:57:04
B00139,M00298,D00465,USR00250,192.168.112.49,Duplicate Transaction,26-04-2020 05:38:40
B00454,M00179,D00087,USR00251,192.168.244.35,Device Not Recognized,27-09-2022 13:25:56
B00269,M00372,D00100,USR00252,192.168.171.105,Suspicious Password Reset,09-10-2025 09:56:32
B00358,M00001,D00055,USR00253,192.168.112.22,Mismatched Billing/Shipping Address,15-06-2020 02:36:05
B00091,M00473,D00313,USR00254,192.168.54.34,High Transaction Amount,11-08-2021 23:59:47
B00066,M00396,D00267,USR00255,192.168.36.60,Multiple Failed Passwords,27-09-2022 08:24:16
B00396,M00439,D00179,USR00256,192.168.206.186,Unverified Email/Phone,27-11-2020 00:30:44
B00301,M00317,D00196,USR00257,192.168.21.160,High Risk Country Login,31-03-2020 04:39:35
B00373,M00215,D00454,USR00258,192.168.164.248,Suspicious Refund Pattern,06-05-2024 17:44:14
B00095,M00070,D00053,USR00259,192.168.234.178,Multiple Failed Passwords,13-03-2024 14:35:19
B00128,M00021,D00473,USR00260,192.168.135.219,Too Many Transactions Quickly,14-02-2020 10:28:57
B00267,M00467,D00262,USR00261,192.168.212.115,Chargeback History,16-02-2022 01:45:38
B00220,M00063,D00317,USR00262,192.168.115.253,Mismatched Billing/Shipping Address,25-08-2024 18:22:36
B00319,M00440,D00004,USR00263,192.168.204.8,IP Address Mismatch,21-07-2021 05:54:33
B00483,M00172,D00451,USR00264,192.168.131.62,Unusual Location Change,05-08-2023 13:20:18
B00410,M00152,D00124,USR00265,192.168.110.38,Suspicious Password Reset,18-03-2022 21:28:40
B00212,M00402,D00128,USR00266,192.168.181.168,Suspicious Login Attempt,22-03-2023 12:42:14
B00078,M00344,D00229,USR00267,192.168.250.58,Multiple Failed Passwords,30-04-2024 03:12:09
B00327,M00163,D00478,USR00268,192.168.196.204,Duplicate Transaction,11-11-2024 21:26:42
B00050,M00299,D00382,USR00269,192.168.3.46,Chargeback History,05-11-2020 07:25:23
B00065,M00315,D00365,USR00270,192.168.149.93,Too Many Transactions Quickly,02-04-2024 01:02:14
B00078,M00168,D00072,USR00271,192.168.15.190,Proxy/VPN Detected,15-09-2025 19:20:19
B00468,M00400,D00192,USR00272,192.168.219.119,Suspicious Login Attempt,27-08-2024 23:53:36
B00182,M00223,D00211,USR00273,192.168.119.137,Unusual Location Change,27-04-2024 09:17:46
B00170,M00040,D00495,USR00274,192.168.3.245,Abnormal Spending Pattern,01-04-2021 13:36:09
B00225,M00126,D00216,USR00275,192.168.60.107,IP Address Mismatch,26-02-2025 05:18:17
B00190,M00479,D00125,USR00276,192.168.50.169,High Risk Country Login,18-05-2024 11:21:50
B00186,M00451,D00326,USR00277,192.168.5.8,Duplicate Transaction,05-01-2021 10:20:01
B00128,M00498,D00183,USR00278,192.168.249.97,Too Many Transactions Quickly,01-02-2021 03:09:44
B00258,M00172,D00421,USR00279,192.168.162.241,Suspicious Password Reset,23-02-2021 17:58:54
B00226,M00282,D00188,USR00280,192.168.226.46,Suspicious Password Reset,23-10-2023 04:35:10
B00039,M00065,D00392,USR00281,192.168.99.71,Abnormal Spending Pattern,21-02-2023 10:58:35
B00312,M00449,D00042,USR00282,192.168.0.208,Transaction Velocity Too High,24-08-2021 05:55:52
B00263,M00172,D00018,USR00283,192.168.67.110,Suspicious Password Reset,15-03-2023 10:10:51
B00282,M00358,D00125,USR00284,192.168.147.39,Unusual Location Change,04-04-2021 13:18:18
