user_id,merchant_id,merchant_name,merchant_category  ,city,is_blacklisted
USR00182,M00070,TrendyCart,Fashion & Apparel,Ranchi,1
USR00183,M00014,UrbanSheets,Home & Furniture,Thane,0
USR00184,M00269,ChaiWala Express,Food & Beverages,Navi Mumbai,0
USR00185,M00135,UrbanSheets,Home & Furniture,Gurgaon,1
USR00186,M00369,LoanBridge Pvt Ltd,Finance & Payment,Hubli-Dharwad,0
USR00187,M00477,QuickBasket,Grocery & Supermarket,Bareilly,0
USR00188,M00114,HealthPlus Clinic,Health & Medical,Varanasi,1
USR00189,M00474,BigCart Grocery,Grocery & Supermarket,Ludhiana,1
USR00190,M00166,TrendZone,Fashion & Apparel,Meerut,0
USR00191,M00213,FlexiFunds,Finance & Payment,Guwahati,0
USR00192,M00372,EliteSaloon & Spa,Services,Gurgaon,0
USR00193,M00350,DigitalMart,Electronics,Amritsar,0
USR00194,M00172,RoyalBazaar,Fashion & Apparel,Aurangabad,1
USR00195,M00264,BusFleet Online,Travel & Transport,Pimpri-Chinchwad,1
USR00196,M00394,CartCity,E-Commerce,Kalyan-Dombivli,0
USR00197,M00320,Dream Prints,Services,Ahmedabad,1
USR00198,M00286,Apollo Pharmacy,Health & Medical,Jaipur,1
USR00199,M00319,HealthFirst Pharmacy,Health & Medical,Visakhapatnam,0
USR00200,M00274,BusFleet Online,Travel & Transport,Amritsar,1
USR00201,M00453,HomeBasket,Grocery & Supermarket,Ahmedabad,0
USR00202,M00366,KartPlanet,E-Commerce,Ghaziabad,0
USR00203,M00255,Royal Interiors,Home & Furniture,Thane,0
USR00204,M00260,DecorPoint,Home & Furniture,Ghaziabad,0
USR00205,M00371,WoodArt Furniture,Home & Furniture,Ranchi,0
USR00206,M00157,Biryani House,Food & Beverages,Raipur,0
USR00207,M00274,SweetCorner,Food & Beverages,Coimbatore,1
USR00208,M00160,LoanBridge Pvt Ltd,Finance & Payment,Howrah,0
USR00209,M00433,BuyBoss,E-Commerce,Vadodara,0
USR00210,M00161,FreshStyle,Fashion & Apparel,Hyderabad,1
USR00211,M00421,Apollo Pharmacy,Health & Medical,Moradabad,1
USR00212,M00205,MicroCredit India,Finance & Payment,Aligarh,1
USR00213,M00117,UrbanWear,Fashion & Apparel,Ranchi,1
USR00214,M00385,OfferBazaar,E-Commerce,Solapur,0
USR00215,M00491,PremiumFurnish,Home & Furniture,Chennai,1
USR00216,M00047,DailyNeeds Superstore,Grocery & Supermarket,Chennai,0
USR00217,M00188,Medico Care,Health & Medical,Aligarh,1
USR00218,M00262,SmartGrocer,Grocery & Supermarket,Hyderabad,1
USR00219,M00270,Dream Prints,Services,Ahmedabad,0
USR00220,M00296,LivingSpaces,Home & Furniture,Kota,0
USR00221,M00246,WoodArt Furniture,Home & Furniture,Bhubaneswar,0
USR00222,M00469,Royal Interiors,Home & Furniture,Visakhapatnam,1
USR00223,M00444,CityCab Travels,Travel & Transport,Srinagar,0
USR00224,M00488,UrbanSheets,Home & Furniture,Ahmedabad,0
USR00225,M00057,QuickPay Systems,Finance & Payment,Jabalpur,1
USR00226,M00199,CartCity,E-Commerce,Navi Mumbai,1
USR00227,M00140,StreetStyle,Fashion & Apparel,Kanpur,0
USR00228,M00094,UrbanCafe,Food & Beverages,Mira-Bhayandar,0
USR00229,M00135,IndiaDeals,E-Commerce,Vadodara,0
USR00230,M00187,Medline Wellness,Health & Medical,Thane,1
USR00231,M00301,PremiumFurnish,Home & Furniture,Guwahati,0
USR00232,M00377,Medline Wellness,Health & Medical,Howrah,0
USR00233,M00254,Medico Care,Health & Medical,Ahmedabad,1
USR00234,M00129,LivingSpaces,Home & Furniture,Chandigarh,0
USR00235,M00165,India Tour Trip,Travel & Transport,Coimbatore,1
USR00236,M00128,BuyBoss,E-Commerce,Thane,1
USR00237,M00199,Biryani House,Food & Beverages,Kalyan-Dombivli,1
USR00238,M00250,RapidPay Services,Finance & Payment,Ghaziabad,1
USR00239,M00026,GoRide Mobility,Travel & Transport,Ghaziabad,1
USR00240,M00286,TrendDealz,E-Commerce,Gwalior,1
USR00241,M00376,GoRide Mobility,Travel & Transport,Mira-Bhayandar,0
USR00242,M00401,DecorPoint,Home & Furniture,Kolkata,0
USR00243,M00159,MegaMart,Fashion & Apparel,Vijayawada,1
USR00244,M00127,StyleHub,Fashion & Apparel,Ghaziabad,0
USR00245,M00316,RapidPay Services,Finance & Payment,Chennai,0
USR00246,M00099,Sparkle Cleaning,Services,Chennai,0
USR00247,M00097,GreenFarm Store,Grocery & Supermarket,Agra,1
USR00248,M00221,StyleHub,Fashion & Apparel,Gwalior,0
USR00249,M00135,ProFix Repairs,Services,Madurai,1
USR00250,M00298,EliteSaloon & Spa,Services,Bhubaneswar,1
USR00251,M00179,QuickPay Systems,Finance & Payment,Varanasi,1
USR00252,M00372,StyleHub,Fashion & Apparel,Amritsar,0
USR00253,M00001,Kebab Junction,Food & Beverages,Kanpur,0
USR00254,M00473,UrbanSheets,Home & Furniture,Jodhpur,1
USR00255,M00396,EasyDay Mart,Grocery & Supermarket,Chandigarh,0
USR00256,M00439,Pizza Planet,Food & Beverages,Jabalpur,1
USR00257,M00317,BharatMoney Transfer,Finance & Payment,Navi Mumbai,1
USR00258,M00215,FreshChoice,Grocery & Supermarket,Lucknow,1
USR00259,M00070,TrendDealz,E-Commerce,Dhanbad,1
USR00260,M00021,LivingSpaces,Home & Furniture,Howrah,1
USR00261,M00467,ShopFlix,E-Commerce,Bhubaneswar,0
USR00262,M00063,Royal Interiors,Home & Furniture,Pune,1
USR00263,M00440,CyberStore,Electronics,Mumbai,0
USR00264,M00172,MetroTaxi Services,Travel & Transport,Hyderabad,0
USR00265,M00152,BharatMoney Transfer,Finance & Payment,Gwalior,0
USR00266,M00402,StreetStyle,Fashion & Apparel,Kalyan-Dombivli,1
USR00267,M00344,PharmaTrust,Health & Medical,Mysore,1
USR00268,M00163,GreenFarm Store,Grocery & Supermarket,Navi Mumbai,1
USR00269,M00299,WoodArt Furniture,Home & Furniture,Allahabad,0
USR00270,M00315,ExpressAuto Hire,Travel & Transport,Bangalore,1
USR00271,M00168,KartPlanet,E-Commerce,Aligarh,0
USR00272,M00400,PrimeDecor,Home & Furniture,Nagpur,1
USR00273,M00223,GoldenGym Fitness,Other,Pune,1
USR00274,M00040,Gadget Point,Electronics,Dhanbad,1
USR00275,M00126,PremiumFurnish,Home & Furniture,Jabalpur,1
USR00276,M00479,BigCart Grocery,Grocery & Supermarket,Bareilly,0
USR00277,M00451,SmartGrocer,Grocery & Supermarket,Salem,1
USR00278,M00498,FlexiFunds,Finance & Payment,Kota,1
USR00279,M00172,StyleHub,Fashion & Apparel,Hubli-Dharwad,0
USR00280,M00282,ShopFlix,E-Commerce,Aurangabad,1
USR00281,M00065,WellnessStreet,Health & Medical,Agra,1
USR00282,M00449,DealBucket,E-Commerce,Dhanbad,0
USR00283,M00172,Laptronics,Electronics,Raipur,1
USR00284,M00358,ExpressAuto Hire,Travel & Transport,Mysore,1
USR00285,M00311,DailyNeeds Superstore,Grocery & Supermarket,Patna,0
USR00286,M00314,RoyalBazaar,Fashion & Apparel,Meerut,1
USR00287,M00296,PrimeDecor,Home & Furniture,Kota,0
USR00288,M00444,FoodPlus,Grocery & Supermarket,Aligarh,1
USR00289,M00007,GoldenGym Fitness,Other,Tiruchirappalli,1
USR00290,M00179,DecorPoint,Home & Furniture,Delhi,0
USR00291,M00172,PharmaTrust,Health & Medical,Coimbatore,0
USR00292,M00135,QuickPay Systems,Finance & Payment,Rajkot,0
USR00293,M00482,TechWorld,Electronics,Srinagar,1
USR00294,M00402,HomeCraft Furnish,Home & Furniture,Hyderabad,0
USR00295,M00017,CityCab Travels,Travel & Transport,Varanasi,1
USR00296,M00061,ExpressAuto Hire,Travel & Transport,Ranchi,0
USR00297,M00352,BuyBoss,E-Commerce,Chennai,0
USR00298,M00130,HealthFirst Pharmacy,Health & Medical,Meerut,0
USR00299,M00334,WellnessStreet,Health & Medical,Nashik,0
USR00300,M00424,MasterArt Studio,Services,Patna,0
USR00301,M00444,UrbanWear,Fashion & Apparel,Agra,1
USR00302,M00474,Creative Media,Services,Chandigarh,1
USR00303,M00315,BuyBoss,E-Commerce,Vijayawada,1
USR00304,M00130,StyleHub,Fashion & Apparel,Guwahati,0
USR00305,M00446,TrendDealz,E-Commerce,Allahabad,0
USR00306,M00354,GreenFarm Store,Grocery & Supermarket,Nagpur,0
USR00307,M00376,Laptronics,Electronics,Amritsar,0
USR00308,M00191,India Tour Trip,Travel & Transport,Kalyan-Dombivli,1
USR00309,M00242,FlyHigh Airlines,Travel & Transport,Gurgaon,1
USR00310,M00079,Gadget Point,Electronics,Madurai,1
USR00311,M00231,FlyHigh Airlines,Travel & Transport,Coimbatore,1
USR00312,M00350,SmartTech,Electronics,Bareilly,0
USR00313,M00279,MegaOnline,E-Commerce,Chennai,1
USR00314,M00090,ShopFlix,E-Commerce,Hyderabad,1
USR00315,M00268,TasteWaves,Food & Beverages,Jalandhar,1
USR00316,M00025,GoldenGym Fitness,Other,Thane,0
USR00317,M00345,TrendDealz,E-Commerce,Surat,0
USR00318,M00157,SpiceNation,Food & Beverages,Srinagar,0
USR00319,M00415,RapidPay Services,Finance & Payment,Rajkot,0
USR00320,M00035,CyberStore,Electronics,Ahmedabad,0
USR00321,M00476,RoyalBazaar,Fashion & Apparel,Mira-Bhayandar,1
USR00322,M00006,MasterArt Studio,Services,Mysore,1
USR00323,M00340,HomeZone,Home & Furniture,Bhopal,1
USR00324,M00040,SmartGrocer,Grocery & Supermarket,Solapur,1
USR00325,M00367,FoodKing,Food & Beverages,Gurgaon,1
USR00326,M00447,DealBucket,E-Commerce,Tiruchirappalli,0
USR00327,M00354,FoodKing,Food & Beverages,Lucknow,0
USR00328,M00291,Burger World,Food & Beverages,Bhopal,0
USR00329,M00366,EliteSaloon & Spa,Services,Hubli-Dharwad,0
USR00330,M00039,MicroCredit India,Finance & Payment,Gurgaon,1
USR00331,M00445,GoRide Mobility,Travel & Transport,Guwahati,1
USR00332,M00443,FastWheels Rental,Travel & Transport,Thane,0
USR00333,M00002,Pizza Planet,Food & Beverages,Chennai,0
USR00334,M00098,HealthFirst Pharmacy,Health & Medical,Indore,1
USR00335,M00217,Device Galaxy,Electronics,Pune,0
USR00336,M00015,FreshChoice,Grocery & Supermarket,Ahmedabad,0
USR00337,M00013,HealthPlus Clinic,Health & Medical,Patna,0
USR00338,M00332,ChaiWala Express,Food & Beverages,Salem,0
USR00339,M00439,RapidPay Services,Finance & Payment,Mysore,0
USR00340,M00462,CartCity,E-Commerce,Agra,0
USR00341,M00058,MegaMart,Fashion & Apparel,Coimbatore,0
USR00342,M00188,DealBucket,E-Commerce,Jaipur,0
USR00343,M00187,SecureFinance Co,Finance & Payment,Indore,0
USR00344,M00249,LivingSpaces,Home & Furniture,Ghaziabad,1
USR00345,M00109,RapidPay Services,Finance & Payment,Salem,1
USR00346,M00279,CyberStore,Electronics,Guwahati,1
USR00347,M00440,FoodKing,Food & Beverages,Aligarh,0
USR00348,M00344,MediCart Store,Health & Medical,Mira-Bhayandar,1
USR00349,M00182,PrimeDecor,Home & Furniture,Thane,0
USR00350,M00480,FlexiFunds,Finance & Payment,Varanasi,0
USR00351,M00394,HomeCraft Furnish,Home & Furniture,Vadodara,0
USR00352,M00494,CityCab Travels,Travel & Transport,Agra,0
USR00353,M00097,BuyBoss,E-Commerce,Jalandhar,1
USR00354,M00005,DailyNeeds Superstore,Grocery & Supermarket,Bhubaneswar,1
USR00355,M00034,TrendDealz,E-Commerce,Pune,1
USR00356,M00275,GoldenGym Fitness,Other,Guwahati,1
USR00357,M00103,GoodLife Healthcare,Health & Medical,Ludhiana,0
USR00358,M00363,RoyalBazaar,Fashion & Apparel,Jabalpur,0
USR00359,M00315,FoodPlus,Grocery & Supermarket,Vadodara,1
USR00360,M00129,TrendDealz,E-Commerce,Srinagar,1
USR00361,M00109,Speedy Travels,Travel & Transport,Hyderabad,0
USR00362,M00488,FlyHigh Airlines,Travel & Transport,Nashik,1
USR00363,M00115,FoodPlus,Grocery & Supermarket,Gurgaon,1
USR00364,M00410,Sparkle Cleaning,Services,Vadodara,0
USR00365,M00124,FashionBay,Fashion & Apparel,Vijayawada,1
USR00366,M00117,RapidPay Services,Finance & Payment,Navi Mumbai,1
USR00367,M00140,MediCart Store,Health & Medical,Surat,0
USR00368,M00434,PrimeDecor,Home & Furniture,Srinagar,0
USR00369,M00489,Gadget Point,Electronics,Tiruchirappalli,0
USR00370,M00364,FoodPlus,Grocery & Supermarket,Mysore,0
USR00371,M00091,TechWorld,Electronics,Lucknow,0
USR00372,M00491,SweetCorner,Food & Beverages,Ranchi,0
USR00373,M00217,TrendZone,Fashion & Apparel,Hubli-Dharwad,1
USR00374,M00020,EliteSaloon & Spa,Services,Pune,1
USR00375,M00056,RapidPay Services,Finance & Payment,Nagpur,0
USR00376,M00361,ProFix Repairs,Services,Vasai-Virar,1
USR00377,M00158,FashionBay,Fashion & Apparel,Vijayawada,1
USR00378,M00400,PrimeDecor,Home & Furniture,Faridabad,1
USR00379,M00485,StreetStyle,Fashion & Apparel,Jodhpur,1
USR00380,M00430,EliteSaloon & Spa,Services,Indore,0
USR00381,M00131,UrbanSheets,Home & Furniture,Meerut,0
USR00382,M00326,BharatMoney Transfer,Finance & Payment,Vadodara,1
USR00383,M00150,ShopFlix,E-Commerce,Kota,1
USR00384,M00104,HomeCraft Furnish,Home & Furniture,Jabalpur,1
USR00385,M00220,FreshStyle,Fashion & Apparel,Thane,0
USR00386,M00405,CartCity,E-Commerce,Chennai,0
USR00387,M00352,ExpressAuto Hire,Travel & Transport,Meerut,1
USR00388,M00247,MicroCredit India,Finance & Payment,Moradabad,0
USR00389,M00325,DailyNeeds Superstore,Grocery & Supermarket,Chennai,0
USR00390,M00214,MasterArt Studio,Services,Ahmedabad,0
USR00391,M00149,Gadget Point,Electronics,Kota,0
USR00392,M00289,HomeBasket,Grocery & Supermarket,Howrah,1
USR00393,M00146,KartPlanet,E-Commerce,Jaipur,0
USR00394,M00467,Device Galaxy,Electronics,Bhubaneswar,0
USR00395,M00014,SweetCorner,Food & Beverages,Ahmedabad,1
USR00396,M00330,MasterArt Studio,Services,Tiruchirappalli,0
USR00397,M00363,DailyNeeds Superstore,Grocery & Supermarket,Thane,0
USR00398,M00106,CartCity,E-Commerce,Surat,1
USR00399,M00035,Comfort Living,Home & Furniture,Indore,1
USR00400,M00393,CyberStore,Electronics,Madurai,1
USR00401,M00139,HomeBasket,Grocery & Supermarket,Jodhpur,1
USR00402,M00487,RoyalBazaar,Fashion & Apparel,Nashik,0
USR00403,M00313,BusFleet Online,Travel & Transport,Jalandhar,1
USR00404,M00377,FreshMart,Grocery & Supermarket,Mysore,0
USR00405,M00018,FreshMart,Grocery & Supermarket,Ahmedabad,0
USR00406,M00121,MegaMart,Fashion & Apparel,Kanpur,1
USR00407,M00072,DailyNeeds Superstore,Grocery & Supermarket,Ludhiana,0
USR00408,M00187,Medico Care,Health & Medical,Ranchi,0
USR00409,M00260,CyberStore,Electronics,Aligarh,1
USR00410,M00041,KartPlanet,E-Commerce,Jabalpur,0
USR00411,M00460,EasyDay Mart,Grocery & Supermarket,Surat,0
USR00412,M00339,SkillHub Learning,Services,Dhanbad,0
USR00413,M00077,Apollo Pharmacy,Health & Medical,Coimbatore,0
USR00414,M00024,Speedy Travels,Travel & Transport,Aurangabad,1
USR00415,M00037,SecureFinance Co,Finance & Payment,Dhanbad,1
USR00416,M00264,Lifewell Medicals,Health & Medical,Gwalior,0
USR00417,M00268,MetroTaxi Services,Travel & Transport,Kanpur,0
USR00418,M00072,Medline Wellness,Health & Medical,Vijayawada,0
USR00419,M00094,SkillHub Learning,Services,Coimbatore,1
USR00420,M00430,MediCart Store,Health & Medical,Indore,0
USR00421,M00423,CityCab Travels,Travel & Transport,Jodhpur,1
